Site_Month,Extreme,Normal,Other,Site_ID,YearMonth,Month,n_all_valid_hours,Macro_Mean_SiteMonth_AllValid,Macro_SD_SiteMonth_AllValid,Macro_Mean_SiteMonth_ExtremeNormalOnly,Macro_Mean_Diff_ExtremeNormal_minus_AllValid
95332224_2025-04,0,432,288,95332224,2025-04,4,720,18.358080007632573,4.668147185451504,18.67218683825599,0.31410683062341604
95332224_2025-05,0,576,168,95332224,2025-05,5,744,21.157058572256435,3.3914876964113843,20.93306893772549,-0.22398963453094467
95332224_2025-06,0,456,264,95332224,2025-06,6,720,25.121253395080565,3.022800038116203,24.527896379169665,-0.5933570159109003
95332224_2025-07,0,312,432,95332224,2025-07,7,744,25.742911018351073,3.050828618799644,25.242640415827434,-0.5002706025236385
95332224_2025-08,0,144,600,95332224,2025-08,8,744,26.04416638035928,3.093001018010439,25.989767021603054,-0.054399358756224814
95332224_2025-09,0,432,288,95332224,2025-09,9,720,25.771150554551017,3.1569049295734066,25.401155334931833,-0.36999521961918447
95332224_2025-10,0,384,360,95332224,2025-10,10,744,22.417194892001408,5.5005150340893145,26.180074239770573,3.7628793477691644
95332224_2025-11,0,600,120,95332224,2025-11,11,720,14.295846013890372,4.828265375068281,14.213061303297678,-0.08278471059269421
95332224_2025-12,0,240,496,95332224,2025-12,12,736,12.242004852579987,4.479110857700842,13.64043144583702,1.3984265932570334
95332225_2025-02,0,168,504,95332225,2025-02,2,672,8.68519554209585,4.032448654532329,6.093190721324866,-2.592004820770983
95332225_2025-03,0,240,504,95332225,2025-03,3,744,13.491959487238239,6.673134722786702,11.975833173592886,-1.516126313645353
95332225_2025-04,0,456,264,95332225,2025-04,4,720,18.303115812937417,4.650064782258328,18.22862892401846,-0.07448688891895827
95332225_2025-05,0,504,240,95332225,2025-05,5,744,21.354248067384127,3.4560903405130885,21.387917624579536,0.03366955719540954
95332225_2025-06,0,144,576,95332225,2025-06,6,720,25.332890767521327,3.0373881424307965,25.258509503470528,-0.0743812640507997
95332225_2025-07,0,456,288,95332225,2025-07,7,744,26.33373918584598,3.052448716946776,25.898356588263262,-0.4353825975827199
95332225_2025-08,120,264,360,95332225,2025-08,8,744,27.03753246799592,3.20327196440715,27.061713814735413,0.024181346739492682
95332225_2025-09,0,168,552,95332225,2025-09,9,720,26.484160476260715,3.1797980151240264,26.46227599325634,-0.02188448300437429
95332225_2025-10,0,528,216,95332225,2025-10,10,744,22.66208363604802,5.921556361037643,23.769286589189008,1.1072029531409875
95332225_2025-11,0,384,336,95332225,2025-11,11,720,13.838763210839696,4.978926596664019,11.719344924514493,-2.119418286325203
95332225_2025-12,0,72,664,95332225,2025-12,12,736,11.636291938752908,4.6437973505104795,13.948313977983263,2.3120220392303548
95332226_2025-03,0,456,288,95332226,2025-03,3,744,13.361564757322432,7.158414203872485,12.759957147206654,-0.6016076101157779
95332226_2025-04,0,360,360,95332226,2025-04,4,720,18.382806024948756,4.5978168174182406,18.232800312836964,-0.15000571211179192
95332226_2025-05,0,336,408,95332226,2025-05,5,744,21.540015456497027,3.3025030257938046,22.230655942644393,0.6906404861473661
95332226_2025-06,0,408,312,95332226,2025-06,6,720,25.745973994996813,2.9103912222871804,25.352896129383762,-0.39307786561305136
95332226_2025-08,24,120,600,95332226,2025-08,8,744,27.984367421878282,3.2340854905627303,26.58836285273234,-1.3960045691459406
95332226_2025-09,72,216,432,95332226,2025-09,9,720,27.36123014556037,3.266652266043331,27.13880522383584,-0.22242492172453154
95332226_2025-10,0,528,216,95332226,2025-10,10,744,23.046843949184623,6.502009651038073,23.918669949878346,0.8718260006937228
95332226_2025-11,0,384,336,95332226,2025-11,11,720,13.64241445147329,5.233803573496765,11.553186850311855,-2.0892276011614346
95332226_2025-12,0,96,640,95332226,2025-12,12,736,11.645646248508811,5.007913411163698,13.694423784812292,2.048777536303481
95332227_2025-02,0,24,648,95332227,2025-02,2,672,8.773963921137952,3.982715113556021,6.921769738197327,-1.8521941829406252
95332227_2025-03,0,360,384,95332227,2025-03,3,744,13.616830861696632,6.773374304224756,10.908600885338254,-2.7082299763583784
95332227_2025-04,0,384,336,95332227,2025-04,4,720,18.21718373696009,4.665697319784654,18.074713171770174,-0.1424705651899174
95332227_2025-05,0,456,288,95332227,2025-05,5,744,21.464452620475523,3.3938309477068063,21.766129543906764,0.3016769234312413
95332227_2025-06,0,432,288,95332227,2025-06,6,720,25.663552117347717,2.927652802450469,25.241752567114652,-0.4217995502330645
95332227_2025-07,0,144,600,95332227,2025-07,7,744,26.94075148079985,3.2595890383415216,26.280630946159363,-0.6601205346404875
95332227_2025-08,120,240,384,95332227,2025-08,8,744,27.655790941689602,3.241226220025522,27.547813023461234,-0.107977918228368
95332227_2025-09,144,168,408,95332227,2025-09,9,720,27.23707651032342,3.2949344079941474,27.478288461000492,0.2412119506770729
95332227_2025-10,0,480,264,95332227,2025-10,10,744,23.27192848728549,6.1699953108658,22.807758951187132,-0.46416953609835687
95332227_2025-11,0,336,384,95332227,2025-11,11,720,13.914970339172417,5.282037552027608,12.193000432281266,-1.7219699068911503
95332227_2025-12,0,72,664,95332227,2025-12,12,736,11.681208512300383,4.895078683776183,13.677100863721636,1.9958923514212525
95332228_2025-02,0,72,600,95332228,2025-02,2,672,7.655305708066278,4.060626120725531,4.987150619427363,-2.6681550886389145
95332228_2025-03,0,336,408,95332228,2025-03,3,744,12.338962045888747,6.65284228077387,9.339952677133537,-2.9990093687552104
95332228_2025-04,0,480,240,95332228,2025-04,4,720,16.986948269605637,4.454774870650146,17.046428949634233,0.059480680028595856
95332228_2025-05,0,312,432,95332228,2025-05,5,744,20.366342216409663,3.313453629207295,20.74096444936899,0.3746222329593287
95332228_2025-06,0,432,288,95332228,2025-06,6,720,24.50200973086887,2.7477028975839954,24.11209131170202,-0.3899184191668503
95332228_2025-07,0,120,624,95332228,2025-07,7,744,25.74981520509207,3.2463615275505693,25.429506921768187,-0.3203082833238824
95332228_2025-08,216,264,264,95332228,2025-08,8,744,26.670996004535304,3.3434845861650717,26.429691588878633,-0.24130441565667127
95332228_2025-09,96,432,192,95332228,2025-09,9,720,26.16598827573988,3.4015400290427245,26.176075444077,0.010087168337118868
95332228_2025-10,0,744,0,95332228,2025-10,10,744,22.194150070990286,6.0519383859559275,22.194150070990286,0.0
95332228_2025-11,0,408,312,95332228,2025-11,11,720,13.010421169466442,4.970851776027169,11.258690496285757,-1.7517306731806848
95332228_2025-12,0,120,616,95332228,2025-12,12,736,10.60920822073746,4.788351834884893,12.240279042720795,1.6310708219833359
95332229_2025-02,0,72,600,95332229,2025-02,2,672,5.935747649612105,3.922011767621309,3.168553667763869,-2.767193981848236
95332229_2025-03,0,336,408,95332229,2025-03,3,744,10.828968004593927,6.506146114066032,7.685591816015187,-3.14337618857874
95332229_2025-04,0,360,360,95332229,2025-04,4,720,15.961812634600534,4.126919857826395,16.100958601633707,0.13914596703317272
95332229_2025-05,0,216,528,95332229,2025-05,5,744,19.198037444904287,3.2170579516567592,20.47711428889522,1.2790768439909321
95332229_2025-06,0,432,288,95332229,2025-06,6,720,23.114102829827203,2.712483888976091,22.84212151280156,-0.2719813170256451
95332229_2025-07,0,48,696,95332229,2025-07,7,744,24.481567764794956,2.785330565798085,24.54015350341797,0.05858573862301242
95332229_2025-08,24,264,456,95332229,2025-08,8,744,25.08084526882377,2.902332913025466,25.230967839558918,0.15012257073514945
95332229_2025-09,48,432,240,95332229,2025-09,9,720,24.030208248562282,2.788465388043867,23.921747970581055,-0.10846027798122648
95332229_2025-10,0,624,120,95332229,2025-10,10,744,19.83642381237399,5.749446401004705,18.99927002344376,-0.8371537889302303
95332229_2025-11,0,384,336,95332229,2025-11,11,720,11.65790921896696,4.598463551890265,9.557993323542178,-2.0999158954247825
95332229_2025-12,0,96,640,95332229,2025-12,12,736,9.235914491694016,4.348584896045972,10.860337619980177,1.6244231282861605
95332230_2025-02,0,72,600,95332230,2025-02,2,672,9.364339582245087,4.103803709423102,7.058005722032653,-2.306333860212434
95332230_2025-03,0,312,432,95332230,2025-03,3,744,14.220803271698696,6.890922192051151,11.984408438205719,-2.2363948334929766
95332230_2025-04,0,552,168,95332230,2025-04,4,720,18.907900973161063,4.6485916479041025,18.879999262699183,-0.027901710461879503
95332230_2025-05,0,384,360,95332230,2025-05,5,744,22.26260082696074,3.445374497552859,22.500929594039917,0.23832876707917805
95332230_2025-06,0,432,288,95332230,2025-06,6,720,26.581292949782476,2.933093660427012,26.126378028481096,-0.45491492130138056
95332230_2025-07,0,168,576,95332230,2025-07,7,744,27.72466592891242,3.4330249758975517,26.86155146644229,-0.8631144624701292
95332230_2025-08,168,264,312,95332230,2025-08,8,744,28.65699573742446,3.426334125447626,28.705602614967912,0.0486068775434525
95332230_2025-09,120,240,360,95332230,2025-09,9,720,28.308441400527954,3.5299534308312905,28.614703337351482,0.3062619368235282
95332230_2025-10,0,720,24,95332230,2025-10,10,744,24.3646887271635,6.393198776635443,24.529381664594016,0.16469293743051594
95332230_2025-11,0,456,264,95332230,2025-11,11,720,14.658853269285625,5.268588824213251,13.13302992624149,-1.5258233430441361
95332230_2025-12,0,96,640,95332230,2025-12,12,736,12.371386107826686,5.140599355300775,14.464768851796785,2.0933827439701
95332231_2025-02,0,48,624,95332231,2025-02,2,672,9.626555352083718,4.044440244479049,7.015124645705025,-2.6114307063786937
95332231_2025-03,0,216,528,95332231,2025-03,3,744,14.315758226379272,6.856692355092776,11.89009541273117,-2.425662813648101
95332231_2025-04,0,552,168,95332231,2025-04,4,720,19.20419546034601,4.731258527458792,19.445850452651147,0.24165499230513632
95332231_2025-05,0,528,216,95332231,2025-05,5,744,22.303023163990307,3.4759424178419738,22.21202278137207,-0.09100038261823684
95332231_2025-06,0,120,600,95332231,2025-06,6,720,26.289943650033738,3.105454207934954,25.662182092666626,-0.627761557367112
95332231_2025-07,0,408,336,95332231,2025-07,7,744,27.111739161194013,3.1792228465500396,26.413855057136686,-0.6978841040573265
95332231_2025-08,96,240,408,95332231,2025-08,8,744,27.943089267259005,3.238767128832234,28.06853361356826,0.12544434630925494
95332231_2025-09,0,192,528,95332231,2025-09,9,720,27.273410079214308,3.1421052701684444,27.054003606239956,-0.21940647297435234
95332231_2025-10,0,504,240,95332231,2025-10,10,744,23.503203168992073,6.002305082887353,24.65977924967569,1.1565760806836174
95332231_2025-11,0,336,384,95332231,2025-11,11,720,14.637260398599837,4.951327048816964,11.724690173353467,-2.9125702252463697
95332231_2025-12,0,24,712,95332231,2025-12,12,736,12.600923418836748,4.593345422017821,16.095360438028973,3.4944370191922243
95332232_2025-02,0,24,648,95332232,2025-02,2,672,10.354591441374007,4.561676802073783,7.3910894592603045,-2.9635019821137023
95332232_2025-03,0,192,552,95332232,2025-03,3,744,14.235813995843293,6.421845302614894,14.003721033533415,-0.23209296230987775
95332232_2025-04,0,528,192,95332232,2025-04,4,720,18.505144894785353,4.718146449661838,18.99111315969265,0.48596826490729583
95332232_2025-05,0,216,528,95332232,2025-05,5,744,20.989087197088427,3.4129825825066646,20.133434436939382,-0.8556527601490451
95332232_2025-06,0,360,360,95332232,2025-06,6,720,24.568744201130336,3.0681407857846232,24.147522735595704,-0.42122146553463224
95332232_2025-07,0,192,552,95332232,2025-07,7,744,25.159876979807372,3.05386836770822,25.156305223703384,-0.0035717561039874113
95332232_2025-08,0,336,408,95332232,2025-08,8,744,24.810754842655633,3.135690513664353,25.16784751982916,0.3570926771735259
95332232_2025-09,0,264,456,95332232,2025-09,9,720,24.49306360880534,2.8525640218298522,23.86574207652699,-0.6273215322783514
95332232_2025-10,0,48,696,95332232,2025-10,10,744,21.681483768647716,5.116756031253815,16.427122116088867,-5.254361652558849
95332232_2025-11,0,432,288,95332232,2025-11,11,720,14.402828432454003,4.847654344224488,15.034149746100107,0.6313213136461044
95332232_2025-12,0,696,40,95332232,2025-12,12,736,12.703215689762779,4.5238858379768025,12.627721268555213,-0.07549442120756567
95332233_2025-02,0,48,624,95332233,2025-02,2,672,9.759920072217938,4.553684433389474,5.798815968135993,-3.9611041040819446
95332233_2025-03,0,192,552,95332233,2025-03,3,744,13.53673961149749,6.339859409685267,13.357999595503012,-0.17874001599447809
95332233_2025-04,0,528,192,95332233,2025-04,4,720,17.729889894856345,4.670718661301079,18.29637401754206,0.5664841226857149
95332233_2025-05,0,360,384,95332233,2025-05,5,744,20.310313255556167,3.3697773763154673,19.933898968166776,-0.376414287389391
95332233_2025-06,24,480,216,95332233,2025-06,6,720,23.934854782952204,2.939623388409318,23.497895831153507,-0.43695895179869737
95332233_2025-07,0,216,528,95332233,2025-07,7,744,24.46684318716808,2.8880168888373583,24.375222453364618,-0.09162073380346314
95332233_2025-08,0,168,576,95332233,2025-08,8,744,24.199626245806293,3.030875176540057,25.069028491065616,0.8694022452593231
95332233_2025-09,0,336,384,95332233,2025-09,9,720,23.82587610880534,2.780779104084774,23.326393445332844,-0.49948266347249515
95332233_2025-10,0,264,480,95332233,2025-10,10,744,20.806047993321574,4.949962068080057,19.08524669300426,-1.7208013003173122
95332233_2025-11,0,576,144,95332233,2025-11,11,720,13.855408181084528,4.64803378883368,14.286345456209448,0.4309372751249203
95332233_2025-12,0,648,88,95332233,2025-12,12,736,11.893626769923646,4.449216331833253,11.644774942118445,-0.24885182780520054
95332234_2025-01,0,24,264,95332234,2025-01,1,288,11.086977764265612,5.845958773521996,15.086040496826172,3.99906273256056
95332234_2025-02,0,48,624,95332234,2025-02,2,672,10.828979933468093,4.812629514591605,6.486356697976589,-4.342623235491503
95332234_2025-03,0,168,576,95332234,2025-03,3,744,14.527199768250988,6.397281772125964,12.061130336352758,-2.46606943189823
95332234_2025-04,0,192,528,95332234,2025-04,4,720,18.995840423636967,4.644903549241215,18.413755076626938,-0.5820853470100289
