Site_ID,YearMonth,Month,Monthly_CBI,Monthly_Intercept,Monthly_R2,Monthly_n_hours,Monthly_CBI_flag,Extreme_Hours,Total_Hours,Extreme_Ratio,Is_Extreme_Month_0p30
95332223,2025-11,11,0.9013990742674627,-0.7054405982524017,0.8447477903130292,720,ok,0,720,0.0,0
95332223,2025-12,12,0.7679721856795757,0.8673715172633152,0.789730404367621,736,ok,0,736,0.0,0
95332224,2025-01,1,0.7898445563726993,1.3486663731805324,0.8812281457327952,288,ok,0,288,0.0,0
95332224,2025-02,2,0.786779444897932,1.767178848606525,0.860905759387568,672,ok,0,672,0.0,0
95332224,2025-03,3,0.8887060955267028,1.2927782232714549,0.9460351422511116,744,ok,0,744,0.0,0
95332224,2025-04,4,0.939935771597177,0.7400266113165017,0.8952526944244158,720,ok,0,720,0.0,0
95332224,2025-05,5,0.8350767432677718,3.506144560730945,0.8720259652682847,744,ok,0,744,0.0,0
95332224,2025-06,6,0.8727428448501794,2.9670989013307185,0.8050301611175423,720,ok,0,720,0.0,0
95332224,2025-07,7,0.8133468967566413,5.101250716462239,0.8747722861692153,744,ok,0,744,0.0,0
95332224,2025-08,8,0.8548573181793667,3.560130521180671,0.819471612759955,744,ok,0,744,0.0,0
95332224,2025-09,9,0.755976156662946,5.948397220432813,0.8343786485921464,720,ok,0,720,0.0,0
95332224,2025-10,10,0.7921878148674897,4.0505321493370765,0.9398424372647554,744,ok,0,744,0.0,0
95332224,2025-11,11,0.8361970003329391,1.273764432074378,0.8492054338338461,720,ok,0,720,0.0,0
95332224,2025-12,12,0.7442808094271578,1.933878416321443,0.8115851448437766,736,ok,0,736,0.0,0
95332225,2025-01,1,0.7520933429250968,2.3451210785084164,0.9169084042196773,288,ok,0,288,0.0,0
95332225,2025-02,2,0.72204652613174,2.565659283626246,0.8217511018790734,672,ok,0,672,0.0,0
95332225,2025-03,3,0.8962388933479699,1.5793311264598078,0.9418546280265588,744,ok,0,744,0.0,0
95332225,2025-04,4,0.8791150294853346,2.1994731635471396,0.8975429150115637,720,ok,0,720,0.0,0
95332225,2025-05,5,0.9031344332793972,2.305473112265048,0.8130369904579612,744,ok,0,744,0.0,0
95332225,2025-06,6,0.8523122206969476,3.451045738260696,0.811635721363332,720,ok,0,720,0.0,0
95332225,2025-07,7,0.9316187480917032,2.4829978913022863,0.7068953268907934,744,ok,0,744,0.0,0
95332225,2025-08,8,1.0422493114495153,-0.8851797391916918,0.7295620785038247,744,ok,120,744,0.16129032258064516,0
95332225,2025-09,9,1.0041616627469347,0.10965783803472462,0.7684615450336735,720,ok,0,720,0.0,0
95332225,2025-10,10,0.8772819055994306,2.953935521086162,0.9073937472777999,744,ok,0,744,0.0,0
95332225,2025-11,11,0.891507674214744,1.3532830972846295,0.896818628918226,720,ok,0,720,0.0,0
95332225,2025-12,12,0.8457768178307935,1.5446518791588417,0.8237669583686886,736,ok,0,736,0.0,0
95332226,2025-01,1,0.6235922647997744,2.338386175512297,0.7858411083029224,288,ok,0,288,0.0,0
95332226,2025-02,2,0.6355119090213669,2.174588676602105,0.8118336799700908,672,ok,0,672,0.0,0
95332226,2025-03,3,0.7501766331512887,1.9963546095684048,0.9080478085878464,744,ok,0,744,0.0,0
95332226,2025-04,4,0.6128746260077604,5.0757670283196585,0.7972802216388027,720,ok,0,720,0.0,0
95332226,2025-05,5,0.5130437449626134,8.255481416549413,0.6472856703780258,744,ok,0,744,0.0,0
