Macro_Within,SPI_Status,Predicted_Micro_Temperature
0.8628207849718379,Normal,23.289387691271763
1.0407145830353421,Normal,23.413949120933054
1.2186083810988464,Normal,23.538510550594342
1.3965021791623506,Normal,23.66307198025563
1.574395977225855,Normal,23.78763340991692
1.7522897752893591,Normal,23.91219483957821
1.9301835733528634,Normal,24.036756269239497
2.1080773714163676,Normal,24.16131769890079
2.285971169479872,Normal,24.285879128562076
2.4638649675433744,Normal,24.410440558223364
2.6417587656068786,Normal,24.53500198788465
2.819652563670383,Normal,24.659563417545943
2.997546361733887,Normal,24.78412484720723
3.1754401597973914,Normal,24.908686276868522
3.3533339578608956,Normal,25.033247706529814
3.5312277559244,Normal,25.157809136191098
3.709121553987904,Normal,25.28237056585239
3.8870153520514084,Normal,25.406931995513677
4.064909150114913,Normal,25.531493425174965
4.242802948178417,Normal,25.656054854836256
4.420696746241921,Normal,25.780616284497544
4.598590544305425,Normal,25.905177714158835
4.776484342368928,Normal,26.029739143820123
4.954378140432432,Normal,26.15430057348141
5.132271938495936,Normal,26.2788620031427
5.310165736559441,Normal,26.403423432803987
5.488059534622945,Normal,26.527984862465278
5.665953332686449,Normal,26.652546292126566
5.8438471307499515,Normal,26.777107721787857
6.021740928813456,Normal,26.90166915144914
6.19963472687696,Normal,27.026230581110433
6.377528524940464,Normal,27.150792010771724
6.5554223230039685,Normal,27.27535344043301
6.733316121067473,Normal,27.3999148700943
6.911209919130977,Normal,27.52447629975559
7.089103717194481,Normal,27.64903772941688
7.2669975152579855,Normal,27.773599159078167
7.44489131332149,Normal,27.898160588739458
-10.166594694965417,Extreme,14.659186946769607
-9.988700896901912,Extreme,14.789670265714918
-9.810807098838408,Extreme,14.92015358466023
-9.632913300774904,Extreme,15.05063690360554
-9.4550195027114,Extreme,15.181120222550849
-9.277125704647895,Extreme,15.311603541496162
-9.099231906584393,Extreme,15.44208686044147
-8.921338108520889,Extreme,15.572570179386783
-8.743444310457384,Extreme,15.703053498332093
-8.56555051239388,Extreme,15.833536817277405
-8.387656714330376,Extreme,15.964020136222715
-8.209762916266872,Extreme,16.094503455168024
-8.031869118203367,Extreme,16.224986774113336
-7.853975320139863,Extreme,16.35547009305865
-7.676081522076359,Extreme,16.48595341200396
-7.498187724012855,Extreme,16.61643673094927
-7.3202939259493505,Extreme,16.746920049894577
-7.142400127885846,Extreme,16.87740336883989
