Target_Class,Target_Class_CN,Site_Month,Site_ID,YearMonth,Month,n_all_valid_hours,Macro_Mean_SiteMonth_AllValid,Macro_SD_SiteMonth_AllValid,Target_n_hours,Normal_n_hours_for_pair,Target_Macro_SD,Normal_Macro_SD_for_pair,Pass_Hours,Pass_Target_Macro_SD,Pass_Normal_Macro_SD,Pass_Hours_Plus_Macro_SD
Severe,重度干旱,95332220_2025-03,95332220,2025-03,3,744,14.08571211881535,6.519495381860264,0,120,,6.83472280215117,False,False,True,False
Severe,重度干旱,95332220_2025-04,95332220,2025-04,4,720,19.069527492920557,4.525530160909401,240,240,4.5030333492253245,4.430597708107617,True,True,True,True
Severe,重度干旱,95332220_2025-05,95332220,2025-05,5,744,21.35154676950106,3.225748226369624,0,600,,3.1262485708319163,False,False,True,False
Severe,重度干旱,95332220_2025-06,95332220,2025-06,6,720,24.605020798577204,2.6250728288357528,0,624,,2.6495367743039595,False,False,True,False
Severe,重度干旱,95332220_2025-07,95332220,2025-07,7,744,25.436089313158426,2.6847816055876383,0,408,,2.7719001961622047,False,False,True,False
Severe,重度干旱,95332220_2025-08,95332220,2025-08,8,744,24.920232239589897,2.7046832056964627,0,360,,2.774038042898192,False,False,True,False
Severe,重度干旱,95332220_2025-09,95332220,2025-09,9,720,24.975678083631728,2.6926704571312707,0,312,,2.7091887006952295,False,False,True,False
Severe,重度干旱,95332220_2025-10,95332220,2025-10,10,744,22.348580926977178,5.3112232182378545,0,576,,5.112630554015286,False,False,True,False
Severe,重度干旱,95332220_2025-11,95332220,2025-11,11,720,14.890984910726548,4.88112264471118,0,648,,5.115657600829952,False,False,True,False
Severe,重度干旱,95332220_2025-12,95332220,2025-12,12,736,13.214247145730516,4.544150513608432,0,688,,4.56643225114436,False,False,True,False
Severe,重度干旱,95332221_2025-01,95332221,2025-01,1,288,10.179364634212106,5.192219686495741,48,0,3.135786532437865,,False,True,False,False
Severe,重度干旱,95332221_2025-02,95332221,2025-02,2,672,9.149030774097247,4.231987875625101,0,72,,2.4122235270556933,False,False,True,False
Severe,重度干旱,95332221_2025-03,95332221,2025-03,3,744,13.861152626493926,6.774743617129564,0,288,,6.094998329668901,False,False,True,False
Severe,重度干旱,95332221_2025-04,95332221,2025-04,4,720,18.643078921900855,4.634040202740511,0,456,,4.767769866869098,False,False,True,False
Severe,重度干旱,95332221_2025-05,95332221,2025-05,5,744,21.61368817155079,3.3825563244816266,0,552,,3.181911528612169,False,False,True,False
Severe,重度干旱,95332221_2025-06,95332221,2025-06,6,720,25.534388144810993,3.0950441341740533,48,480,3.0887963767124402,2.8479560625631817,False,True,True,False
Severe,重度干旱,95332221_2025-07,95332221,2025-07,7,744,26.276867517860985,3.1708845232214773,0,360,,2.544815128216244,False,False,True,False
Severe,重度干旱,95332221_2025-08,95332221,2025-08,8,744,26.822586392843593,3.0877158410058114,120,120,3.3295476297336264,3.120744637116055,True,True,True,True
Severe,重度干旱,95332221_2025-09,95332221,2025-09,9,720,26.43559548060099,3.1535887431431373,0,480,,3.138179902670893,False,False,True,False
Severe,重度干旱,95332221_2025-10,95332221,2025-10,10,744,22.75324784043015,5.889837808262021,0,408,,5.188360004646508,False,False,True,False
Severe,重度干旱,95332221_2025-11,95332221,2025-11,11,720,14.144375741481781,4.888946060890185,0,240,,4.401119102196795,False,False,True,False
Severe,重度干旱,95332221_2025-12,95332221,2025-12,12,736,12.179029829800129,4.582033008148162,24,168,3.799731264538316,4.085810797981724,False,True,True,False
Severe,重度干旱,95332222_2025-01,95332222,2025-01,1,288,10.413353085647234,5.1195019885427735,48,0,3.1855032484454435,,False,True,False,False
Severe,重度干旱,95332222_2025-02,95332222,2025-02,2,672,9.443502166496945,4.204402198992014,24,48,2.7090870920551264,1.433877527244368,False,True,True,False
Severe,重度干旱,95332222_2025-03,95332222,2025-03,3,744,14.090014780721356,6.760671329117108,0,264,,5.923119864141103,False,False,True,False
Severe,重度干旱,95332222_2025-04,95332222,2025-04,4,720,18.849158024787904,4.6123311824611255,0,432,,4.7041235463451505,False,False,True,False
Severe,重度干旱,95332222_2025-05,95332222,2025-05,5,744,21.784712617115307,3.3516446808337963,0,528,,3.1988854978330985,False,False,True,False
Severe,重度干旱,95332222_2025-06,95332222,2025-06,6,720,25.735589848624336,3.0718564354918407,72,456,3.324427070650818,2.8302270666397455,True,True,True,True
Severe,重度干旱,95332222_2025-07,95332222,2025-07,7,744,26.42737627285783,3.1528718237338,0,336,,2.539320800134665,False,False,True,False
Severe,重度干旱,95332222_2025-08,95332222,2025-08,8,744,27.01727932499301,3.0647698763503293,96,120,3.219067617300532,3.151939853955981,True,True,True,True
Severe,重度干旱,95332222_2025-09,95332222,2025-09,9,720,26.602888753679064,3.0943924661170383,48,360,3.0837129638249294,3.158679029343178,False,True,True,False
Severe,重度干旱,95332222_2025-10,95332222,2025-10,10,744,22.942246806237005,5.859629544257454,0,360,,3.5487726597582805,False,False,True,False
Severe,重度干旱,95332222_2025-11,95332222,2025-11,11,720,14.386468299892213,4.822458693639265,0,240,,4.326936365745124,False,False,True,False
Severe,重度干旱,95332222_2025-12,95332222,2025-12,12,736,12.428403569304425,4.495740468329915,24,168,3.8765174264489364,3.881274560573328,False,True,True,False
Severe,重度干旱,95332223_2025-01,95332223,2025-01,1,288,10.352453565018045,5.151280057435892,24,0,4.139025905085578,,False,True,False,False
Severe,重度干旱,95332223_2025-02,95332223,2025-02,2,672,9.658273275719868,4.247669350062525,0,72,,2.1630930499335785,False,False,True,False
Severe,重度干旱,95332223_2025-03,95332223,2025-03,3,744,14.049587199764867,6.614815472327452,0,240,,5.7789329084979615,False,False,True,False
Severe,重度干旱,95332223_2025-04,95332223,2025-04,4,720,18.587981810834673,4.67998996394917,0,408,,4.624560778507007,False,False,True,False
Severe,重度干旱,95332223_2025-05,95332223,2025-05,5,744,21.415944765972835,3.3941337933528777,0,528,,3.366736100367444,False,False,True,False
Severe,重度干旱,95332223_2025-06,95332223,2025-06,6,720,25.391454667515227,3.096438781727587,72,408,3.4758178876920236,2.8526519316227454,True,True,True,True
Severe,重度干旱,95332223_2025-07,95332223,2025-07,7,744,26.01049961838671,3.1218073390072685,0,312,,2.4802351528110265,False,False,True,False
Severe,重度干旱,95332223_2025-08,95332223,2025-08,8,744,26.408292898567773,3.145772058704688,96,120,3.335355962599591,2.8587194840774197,True,True,True,True
Severe,重度干旱,95332223_2025-09,95332223,2025-09,9,720,26.126347986857095,3.190392624636121,0,336,,3.2113580706511593,False,False,True,False
Severe,重度干旱,95332223_2025-10,95332223,2025-10,10,744,22.6721118034855,5.647156526740384,0,240,,3.696607423124765,False,False,True,False
Severe,重度干旱,95332223_2025-11,95332223,2025-11,11,720,14.457480673657523,4.759235214632315,0,624,,4.995192704197126,False,False,True,False
Severe,重度干旱,95332223_2025-12,95332223,2025-12,12,736,12.472364810335895,4.439368493970231,24,264,3.6742799953906387,3.886267524659197,False,True,True,False
Severe,重度干旱,95332224_2025-01,95332224,2025-01,1,288,10.101538030948076,5.195300533814278,24,0,4.027020595154798,,False,True,False,False
Severe,重度干旱,95332224_2025-02,95332224,2025-02,2,672,9.588007278493716,4.283025468432999,0,24,,0.7213674504490003,False,False,False,False
Severe,重度干旱,95332224_2025-03,95332224,2025-03,3,744,13.933791038169655,6.515154326218379,0,168,,5.9447444450083236,False,False,True,False
Severe,重度干旱,95332224_2025-04,95332224,2025-04,4,720,18.358080007632573,4.668147185451504,0,432,,4.668386948151883,False,False,True,False
Severe,重度干旱,95332224_2025-05,95332224,2025-05,5,744,21.157058572256435,3.3914876964113843,0,576,,3.4693806413799666,False,False,True,False
