Drought_Class,Drought_Class_CN,Site_ID,site_rank_by_hours,n_hours,hour_share_within_class,cumulative_hour_share,n_site_months,site_month_share_within_class,n_months,months_present,mean_spi,macro_mean_hourly,class_hour_HHI,effective_n_sites_by_hours,top1_site_hour_share,top3_site_hour_share,top5_site_hour_share
Mild,轻度干旱,95332238,25,720,0.022085889570552148,0.9590184049079755,5,0.031446540880503145,5,"4,6,7,8,9",-0.6804272611935933,22.63003658718533,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332231,26,696,0.02134969325153374,0.9803680981595093,4,0.025157232704402517,4,"4,6,7,9",-0.7411843764370886,25.527755307055067,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332236,27,640,0.0196319018404908,1.0000000000000002,5,0.031446540880503145,5,"4,5,6,7,12",-0.6715514235198498,20.80941026955843,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Moderate,中度干旱,95332228,1,1296,0.07040417209908735,0.07040417209908735,7,0.06140350877192982,7,"2,4,6,7,8,9,12",-1.2468306687143114,20.70196176375504,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332227,2,1272,0.06910039113428944,0.1395045632333768,6,0.05263157894736842,6,"4,6,7,8,9,12",-1.2501677004796155,21.547682735436368,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332230,3,1224,0.06649282920469361,0.20599739243807041,7,0.06140350877192982,7,"2,4,6,7,8,9,12",-1.1663268173442167,21.622362749151936,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332243,4,960,0.05215123859191656,0.258148631029987,5,0.043859649122807015,5,"4,6,7,8,12",-1.1532365739345551,21.349628944912304,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332240,5,960,0.05215123859191656,0.31029986962190353,6,0.05263157894736842,6,"4,6,7,8,9,12",-1.2244984745979308,23.328671426574388,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332221,6,912,0.04954367666232073,0.35984354628422427,5,0.043859649122807015,5,"6,7,8,9,12",-1.2075758450909664,22.104010913586407,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332224,7,912,0.04954367666232073,0.409387222946545,5,0.043859649122807015,5,"6,7,8,9,12",-1.197316100722865,22.764114263287762,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332239,8,840,0.04563233376792699,0.455019556714472,5,0.043859649122807015,5,"4,6,7,8,9",-1.228179441179548,25.080627779165905,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332225,9,816,0.04432855280312908,0.49934810951760106,6,0.05263157894736842,6,"4,6,7,8,9,12",-1.2044775591177097,20.968110861147153,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332242,10,768,0.041720990873533245,0.5410691003911343,3,0.02631578947368421,3,"4,8,12",-1.2520109601318838,16.63098660155083,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332223,11,744,0.04041720990873533,0.5814863102998696,6,0.05263157894736842,6,"2,4,6,7,8,9",-1.196703564736151,23.443045629609017,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332229,12,744,0.04041720990873533,0.621903520208605,5,0.043859649122807015,5,"2,4,6,8,12",-1.1946056542858001,14.921588593673322,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332233,13,720,0.03911342894393742,0.6610169491525424,6,0.05263157894736842,6,"4,5,6,7,8,9",-1.1602929830551147,22.506694569852616,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332231,14,720,0.03911342894393742,0.7001303780964798,5,0.043859649122807015,5,"5,6,7,8,9",-1.266066801548004,27.304357894261678,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332222,15,720,0.03911342894393742,0.7392438070404173,4,0.03508771929824561,4,"7,8,9,12",-1.2009201208750406,21.928833821084766,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332226,16,696,0.03780964797913951,0.7770534550195568,5,0.043859649122807015,5,"4,6,8,9,12",-1.2737631468937314,21.519388279438704,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332232,17,552,0.02998696219035202,0.8070404172099088,5,0.043859649122807015,5,"4,5,6,7,8",-1.2008534203404966,22.554796433103256,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332237,18,504,0.027379400260756193,0.834419817470665,3,0.02631578947368421,3,"4,5,7",-1.2916017089571272,19.57754876500084,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332238,19,504,0.027379400260756193,0.8617992177314211,3,0.02631578947368421,3,"4,5,7",-1.2356892199743361,20.137255669586242,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332234,20,480,0.02607561929595828,0.8878748370273793,3,0.02631578947368421,3,"4,5,7",-1.2268405854701996,20.943209373950957,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332236,21,480,0.02607561929595828,0.9139504563233376,3,0.02631578947368421,3,"4,6,7",-1.2279190242290496,23.844698162873588,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332217,22,408,0.02216427640156454,0.9361147327249021,3,0.02631578947368421,3,"2,4,5",-1.1695273623746985,17.42614871964735,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332235,23,360,0.01955671447196871,0.9556714471968708,3,0.02631578947368421,3,"4,6,7",-1.257685653368632,23.707928774091933,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332244,24,336,0.018252933507170794,0.9739243807040416,2,0.017543859649122806,2,"7,12",-1.2909493957247054,24.914676450547717,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332218,25,312,0.01694915254237288,0.9908735332464145,2,0.017543859649122806,2,"4,7",-1.2936890125274658,22.401796512114696,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Moderate,中度干旱,95332219,26,168,0.009126466753585397,0.9999999999999999,1,0.008771929824561403,1,4,-1.4358611788068498,18.32982535589309,0.04491159957095917,22.26596268120056,0.07040417209908735,0.20599739243807041,0.31029986962190353
Severe,重度干旱,95332226,1,408,0.0735930735930736,0.0735930735930736,2,0.045454545454545456,2,"8,9",-1.7269017345765059,28.02369972771289,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332243,2,384,0.06926406926406926,0.14285714285714285,2,0.045454545454545456,2,"8,9",-1.7611044943332672,27.23283490538597,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332225,3,384,0.06926406926406926,0.2121212121212121,2,0.045454545454545456,2,"8,9",-1.6709227189421654,27.022010137637455,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332229,4,336,0.06060606060606061,0.2727272727272727,2,0.045454545454545456,2,"8,9",-1.6772498743874686,24.567502612159366,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332219,5,336,0.06060606060606061,0.3333333333333333,2,0.045454545454545456,2,"4,7",-1.7493901678494048,21.448490534509933,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332227,6,336,0.06060606060606061,0.3939393939393939,3,0.06818181818181818,3,"8,9,12",-1.7695707763944353,24.794707355045137,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332230,7,312,0.05627705627705628,0.4502164502164502,3,0.06818181818181818,3,"6,8,9",-1.7820744331066425,28.152666648228962,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332231,8,312,0.05627705627705628,0.5064935064935064,2,0.045454545454545456,2,"8,9",-1.7154433818963857,27.75432759676224,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332239,9,288,0.05194805194805195,0.5584415584415584,3,0.06818181818181818,3,"6,7,8",-1.7043327192465463,26.888254563013714,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332240,10,264,0.047619047619047616,0.606060606060606,3,0.06818181818181818,3,"6,8,12",-1.6697553612969136,22.08111229809848,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332220,11,240,0.04329004329004329,0.6493506493506492,1,0.022727272727272728,1,4,-1.6475971937179565,19.18534755706787,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332228,12,240,0.04329004329004329,0.6926406926406925,2,0.045454545454545456,2,"8,9",-1.792140817642212,26.860869510968527,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332218,13,216,0.03896103896103896,0.7316017316017315,1,0.022727272727272728,1,4,-1.6311796108881635,18.189438643278898,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332237,14,168,0.030303030303030304,0.7619047619047618,2,0.045454545454545456,2,"6,7",-1.6670844554901123,25.012582392919633,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332244,15,168,0.030303030303030304,0.792207792207792,1,0.022727272727272728,1,7,-1.6238400084631783,26.634769360224407,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332232,16,168,0.030303030303030304,0.8225108225108223,2,0.045454545454545456,2,"6,7",-1.7095319713865007,26.21685817128136,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332223,17,168,0.030303030303030304,0.8528138528138526,2,0.045454545454545456,2,"6,8",-1.6081685338701521,26.775074731735955,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332222,18,168,0.030303030303030304,0.8831168831168829,2,0.045454545454545456,2,"6,8",-1.684731364250183,27.298814467021398,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332233,19,144,0.025974025974025976,0.9090909090909088,2,0.045454545454545456,2,"6,7",-1.7083895603815715,25.60571579138438,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332234,20,144,0.025974025974025976,0.9350649350649348,2,0.045454545454545456,2,"4,6",-1.6627353429794312,20.210740086105133,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332217,21,144,0.025974025974025976,0.9610389610389608,1,0.022727272727272728,1,7,-1.700496474901835,27.60188364982605,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332221,22,120,0.021645021645021644,0.9826839826839825,1,0.022727272727272728,1,8,-1.7060402393341065,27.191105715433757,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Severe,重度干旱,95332242,23,96,0.017316017316017316,0.9999999999999998,1,0.022727272727272728,1,9,-1.7602196633815765,26.14405945936839,0.04998032270759542,20.007874015748037,0.0735930735930736,0.2121212121212121,0.3333333333333333
Extreme,极端干旱,95332228,1,312,0.13,0.13,2,0.125,2,"8,9",-2.164500988446749,26.657755662233402,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332230,2,288,0.12,0.25,2,0.125,2,"8,9",-2.1876181165377298,29.084702538119423,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332227,3,264,0.11,0.36,2,0.125,2,"8,9",-2.2292992635206743,27.676566608024366,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332235,4,240,0.1,0.45999999999999996,1,0.0625,1,4,-2.1143820285797124,19.510089937845866,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332236,5,240,0.1,0.5599999999999999,1,0.0625,1,4,-2.2096578598022467,18.073973393440248,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332244,6,240,0.1,0.6599999999999999,1,0.0625,1,4,-2.1338373661041263,19.268838310241698,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332217,7,216,0.09,0.7499999999999999,1,0.0625,1,4,-2.0828163358900285,17.733340510615594,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332220,8,168,0.07,0.8199999999999998,1,0.0625,1,4,-2.009874820709229,17.143608184087846,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332225,9,120,0.05,0.8699999999999999,1,0.0625,1,8,-2.0743306636810304,27.09401936531067,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332231,10,96,0.04,0.9099999999999999,1,0.0625,1,8,-2.1863821148872375,28.455437421798706,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332221,11,72,0.03,0.94,1,0.0625,1,8,-2.2262698809305825,27.25474066204495,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332226,12,72,0.03,0.97,1,0.0625,1,9,-2.069338083267212,27.075628730985855,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
Extreme,极端干旱,95332242,13,72,0.03,1.0,1,0.0625,1,9,-2.121847629547119,26.277833673689102,0.0932,10.729613733905579,0.13,0.36,0.5599999999999999
