Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Distance_to_Grid_km,Extraction_Method,Annual_Min_SPI,Annual_Max_SPI,Drought_Days,Total_Severity,First_Onset,Event_Count_Total,Event_Count_Light,Event_Count_Moderate,Event_Count_Severe,Event_Count_Extreme,Max_Event_Duration,Max_Event_Severity,Worst_Event_Min_SPI,Worst_Event_Level
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,2.2701,Nearest,-2.481644868850708,1.4216041564941406,181,216.65768855810165,2025-01-01,7,1,2,3,1,44,67.75691944360733,-2.481644868850708,Extreme
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,2.2701,Bilinear,-2.370442712684815,1.3291930832154526,180,210.990521767301,2025-01-01,7,1,2,3,1,43,63.94899134084472,-2.370442712684815,Extreme
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,2.2701,Mean3x3,-2.3256443871392145,1.2790606684154935,179,209.26772551486889,2025-01-01,8,1,4,2,1,43,63.873708360724976,-2.3256443871392145,Extreme
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,1.3065,Nearest,-2.336613178253174,1.1428618431091309,162,196.84708815813065,2025-01-01,7,1,3,2,1,36,57.857635140419006,-2.336613178253174,Extreme
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,1.3065,Bilinear,-2.264938783566514,1.0871380554762275,164,195.43392474612727,2025-01-01,7,1,3,2,1,36,55.52685528506348,-2.264938783566514,Extreme
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,1.3065,Mean3x3,-2.2587556574079724,1.1162108447816637,163,191.8978882299529,2025-01-01,6,0,3,2,1,36,54.55518776509497,-2.2587556574079724,Extreme
95332229.0,117.8937625,27.86000655,117.875,27.875,2.4862,Nearest,-2.1005795001983643,1.5030306577682495,171,190.12394601106644,2025-01-01,8,2,4,1,1,39,50.63849425315857,-2.1005795001983643,Extreme
95332229.0,117.8937625,27.86000655,117.875,27.875,2.4862,Bilinear,-2.18893764757692,1.388694439224899,173,195.91886440016796,2025-01-01,8,2,4,1,1,39,51.54872324297682,-2.18893764757692,Extreme
95332229.0,117.8937625,27.86000655,117.875,27.875,2.4862,Mean3x3,-2.1716913647121854,1.2723516358269586,175,195.713531838523,2025-01-01,8,2,4,1,1,39,51.34195374117957,-2.1716913647121854,Extreme
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,2.143,Nearest,-2.39896559715271,1.2824262380599976,167,194.37980431318283,2025-01-01,7,1,3,2,1,37,58.648909509181976,-2.39896559715271,Extreme
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,2.143,Bilinear,-2.3910947548487242,1.289400932999611,166,191.3698376820311,2025-01-01,7,0,4,2,1,36,57.68398071349502,-2.3910947548487242,Extreme
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,2.143,Mean3x3,-2.3419043487972684,1.2701491249932184,163,189.14525599860485,2025-01-01,7,1,3,2,1,36,55.55250005258455,-2.3419043487972684,Extreme
95332231.0,117.7169739,27.06687783,117.72500610351562,27.074996948242188,1.2031,Nearest,-2.299917221069336,1.3557583093643188,166,188.49504441022873,2025-01-01,6,1,1,3,1,39,55.17359781265259,-2.299917221069336,Extreme
95332231.0,117.7169739,27.06687783,117.72500610351562,27.074996948242188,1.2031,Bilinear,-2.3646713033031252,1.3270742563446456,166,185.3147172777119,2025-01-01,6,1,2,2,1,39,55.788724690616355,-2.3646713033031252,Extreme
95332231.0,117.7169739,27.06687783,117.72500610351562,27.074996948242188,1.2031,Mean3x3,-2.444929043451945,1.3622395992279053,165,179.56851864099087,2025-01-01,7,2,3,1,1,37,55.42120056351026,-2.444929043451945,Extreme
95332232.0,117.4091708,25.81640582,117.42498779296875,25.824996948242188,1.8491,Nearest,-1.9296255111694336,1.3083174228668213,132,135.72260481119156,2025-01-01,8,1,2,5,0,24,27.2657613158226,-1.9296255111694336,Severe
95332232.0,117.4091708,25.81640582,117.42498779296875,25.824996948242188,1.8491,Bilinear,-1.9223822688151808,1.3740408720620358,125,129.32342537877742,2025-01-01,8,1,2,5,0,23,26.473953305812753,-1.9223822688151808,Severe
95332232.0,117.4091708,25.81640582,117.42498779296875,25.824996948242188,1.8491,Mean3x3,-1.9599394798278809,1.3480009105470445,126,128.50367103020352,2025-01-01,8,1,3,4,0,23,25.824309719933407,-1.9599394798278809,Severe
