Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated,Drought_Extent_Peak(%),Drought_Extent_Union(%),Station_Event_Count_Total,Station_Event_Count_Light,Station_Event_Count_Moderate,Station_Event_Count_Severe,Station_Event_Count_Extreme
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,8,2025-12-10,2025-12-31,22,-1.5541092157363892,-0.724697470664978,2025-12-30,2025-12-22,24.042314529418945,Severe,3,True,87.49,92.81,8,2,2,3,1
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,1,2025-01-01,2025-02-05,36,-1.6394526958465576,-0.7881618142127991,2025-02-01,2025-01-12,39.54259365797043,Severe,3,True,96.33,100.0,8,3,1,4,0
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,2,2025-02-07,2025-02-21,15,-0.8926356434822083,-0.559689462184906,2025-02-19,2025-02-07,11.660811126232147,Light,1,False,99.21,100.0,8,3,1,4,0
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,3,2025-02-23,2025-03-02,8,-1.1126946210861206,-0.5830841660499573,2025-03-01,2025-02-23,7.38725346326828,Moderate,2,False,96.49,100.0,8,3,1,4,0
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,4,2025-04-03,2025-04-08,6,-0.9142223596572876,-0.7062352895736694,2025-04-03,2025-04-06,4.6740259528160095,Light,1,False,92.75,92.88,8,3,1,4,0
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,5,2025-04-13,2025-04-18,6,-0.9303781390190125,-0.604155957698822,2025-04-13,2025-04-18,4.842272579669952,Light,1,False,92.65,93.49,8,3,1,4,0
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,6,2025-06-21,2025-07-12,22,-1.7227922677993774,-0.5130136013031006,2025-06-27,2025-07-12,24.143233060836792,Severe,3,False,97.53,99.43,8,3,1,4,0
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,7,2025-08-12,2025-09-11,31,-1.7992414236068726,-0.5003818273544312,2025-08-27,2025-08-24,34.895619094371796,Severe,3,False,71.89,98.37,8,3,1,4,0
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,8,2025-12-10,2025-12-31,22,-1.5723817348480225,-0.6887859106063843,2025-12-30,2025-12-22,23.634492456912994,Severe,3,True,87.49,92.81,8,3,1,4,0
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,1,2025-01-01,2025-02-05,36,-1.5633106231689453,-0.8207867741584778,2025-01-06,2025-01-17,41.27206212282181,Severe,3,True,99.91,100.0,9,3,2,4,0
