Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Annual_Min_SPI,Annual_Max_SPI,Drought_Days,Total_Severity,First_Onset,Event_Count_Total,Event_Count_Light,Event_Count_Moderate,Event_Count_Severe,Event_Count_Extreme,Max_Event_Duration,Max_Event_Severity,Worst_Event_Min_SPI,Worst_Event_Level
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,-2.336613178253174,1.1428618431091309,162,196.84708815813065,2025-01-01,7,1,3,2,1,36,57.857635140419006,-2.336613178253174,Extreme
95332229.0,117.8937625,27.86000655,117.875,27.875,-2.1005795001983643,1.5030306577682495,171,190.12394601106644,2025-01-01,8,2,4,1,1,39,50.63849425315857,-2.1005795001983643,Extreme
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,-2.39896559715271,1.2824262380599976,167,194.37980431318283,2025-01-01,7,1,3,2,1,37,58.648909509181976,-2.39896559715271,Extreme
95332231.0,117.7169739,27.06687783,117.72500610351562,27.074996948242188,-2.299917221069336,1.3557583093643188,166,188.49504441022873,2025-01-01,6,1,1,3,1,39,55.17359781265259,-2.299917221069336,Extreme
95332232.0,117.4091708,25.81640582,117.42498779296875,25.824996948242188,-1.9296255111694336,1.3083174228668213,132,135.72260481119156,2025-01-01,8,1,2,5,0,24,27.2657613158226,-1.9296255111694336,Severe
95332233.0,117.467793,25.89459269,117.47500610351562,25.875,-2.105762243270874,1.1488109827041626,133,137.72925931215286,2025-01-01,7,0,3,3,1,29,26.469120144844055,-2.105762243270874,Extreme
95332234.0,116.77256,25.47449,116.77499389648438,25.474998474121094,-1.8815208673477173,1.4397929906845093,156,143.14144724607468,2025-01-01,10,4,2,4,0,29,28.363433122634888,-1.8815208673477173,Severe
95332235.0,116.29942,25.47995,116.27499389648438,25.474998474121094,-2.4802095890045166,2.0174758434295654,132,138.403495490551,2025-01-01,6,1,1,2,2,26,31.88193041086197,-2.4802095890045166,Extreme
95332236.0,116.68835,25.66767,116.67498779296875,25.67499542236328,-2.785902738571167,2.3068723678588867,124,136.56943380832672,2025-01-01,5,0,1,2,2,31,35.36875170469284,-2.785902738571167,Extreme
95332237.0,117.00125,25.69326,117.02499389648438,25.67499542236328,-1.9866604804992676,1.4376500844955444,142,135.5466532111168,2025-01-01,9,2,4,3,0,23,26.365715622901917,-1.9866604804992676,Severe
95332238.0,117.2348565,25.72348088,117.22500610351562,25.724998474121094,-2.096324920654297,1.4766418933868408,123,124.05126714706421,2025-01-01,6,0,3,2,1,36,36.20518797636032,-2.096324920654297,Extreme
95332239.0,117.6462713,26.197705,117.625,26.17499542236328,-2.1325321197509766,1.3215360641479492,144,152.01974987983704,2025-01-01,8,2,2,3,1,32,37.720304906368256,-2.1325321197509766,Extreme
95332240.0,117.6962543,26.39744371,117.67498779296875,26.375,-1.8281588554382324,1.3542927503585815,149,157.02331334352493,2025-01-01,5,0,1,4,0,61,60.09404271841049,-1.8281588554382324,Severe
95332242.0,118.2814144,27.95758117,118.27499389648438,27.974998474121094,-2.2075388431549072,1.5735561847686768,173,179.99357944726944,2025-01-01,8,2,3,2,1,42,41.03427904844284,-2.2075388431549072,Extreme
95332243.0,118.0908773,27.81907915,118.07501220703125,27.824996948242188,-2.106205463409424,1.193723440170288,171,189.47316598892212,2025-01-01,7,1,3,2,1,38,45.790713012218475,-2.106205463409424,Extreme
95332244.0,116.28577,25.76857,116.27499389648438,25.774993896484375,-2.5941708087921143,1.9089763164520264,158,173.24394237995148,2025-01-01,7,1,2,1,3,36,43.28223639726639,-2.5941708087921143,Extreme
