Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Date,Daily_SPI_30d,Is_Drought_Day
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-14,-0.4883,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-15,-0.6479,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-16,-0.782,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-17,-1.0376,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-18,-1.1168,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-19,-1.2094,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-20,-0.9686,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-21,-0.9904,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-22,-0.8066,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-23,-0.8481,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-24,-0.8474,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-25,-0.7785,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-26,-0.7485,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-27,-0.8001,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-28,-0.8179,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-01,-0.8641,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-02,-1.0236,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-03,0.7963,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-04,1.2768,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-05,1.27,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-06,1.2207,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-07,1.2404,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-08,1.0777,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-09,1.0971,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-10,1.1191,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-11,1.0783,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-12,1.0797,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-13,1.0628,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-03-14,0.9203,False
