Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Distance_to_Grid_km,Extraction_Method,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,1,2025-01-01,2025-01-10,10,-1.397932767868042,-0.6722006797790527,2025-01-01,2025-01-10,8.780573666095734,Moderate,2,True
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,2,2025-01-14,2025-02-05,23,-1.3707531690597534,-0.5347971320152283,2025-01-26,2025-01-16,21.82190877199173,Moderate,2,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,3,2025-02-15,2025-02-21,7,-0.7828031182289124,-0.5431870818138123,2025-02-19,2025-02-15,4.616428732872009,Light,1,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,4,2025-02-23,2025-03-02,8,-0.9300857782363892,-0.5065593123435974,2025-03-02,2025-02-23,5.43396919965744,Light,1,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,5,2025-04-02,2025-04-23,22,-2.3179261684417725,-0.7098069787025452,2025-04-11,2025-04-21,32.18559658527374,Extreme,4,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,6,2025-05-24,2025-06-01,9,-0.962844967842102,-0.5526187419891357,2025-05-27,2025-06-01,6.8861082792282104,Light,1,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,7,2025-06-04,2025-07-10,37,-2.2910687923431396,-0.5045126080513,2025-06-28,2025-06-04,41.840856432914734,Extreme,4,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,8,2025-08-27,2025-09-02,7,-1.0555106401443481,-0.5607427358627319,2025-08-31,2025-09-02,5.895151615142822,Moderate,2,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,9,2025-09-04,2025-09-09,6,-0.6015307903289795,-0.5051993131637573,2025-09-07,2025-09-04,3.33726304769516,Light,1,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,10,2025-11-13,2025-11-29,17,-0.7233188152313232,-0.5237846970558167,2025-11-29,2025-11-13,11.15137666463852,Light,1,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Bilinear,1,2025-01-01,2025-01-10,10,-1.4217351503508333,-0.5877729536062274,2025-01-01,2025-01-10,8.824965786635603,Moderate,2,True
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Bilinear,2,2025-01-14,2025-02-05,23,-1.4480245208015334,-0.5277871165902713,2025-01-26,2025-01-16,21.7889382336939,Moderate,2,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Bilinear,3,2025-02-15,2025-03-02,16,-0.9824074355479367,-0.5980837430553888,2025-03-02,2025-02-15,12.174601745650804,Light,1,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Bilinear,4,2025-04-02,2025-04-23,22,-2.1326514955926856,-0.7423400997616679,2025-04-02,2025-04-23,31.8170074684451,Extreme,4,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Bilinear,5,2025-05-24,2025-06-01,9,-1.0161832547623544,-0.5468399017591206,2025-05-27,2025-06-01,7.231264161992588,Moderate,2,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Bilinear,6,2025-06-05,2025-07-10,36,-2.204673867540495,-0.5258540567920617,2025-06-28,2025-06-17,40.12930720486393,Extreme,4,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Bilinear,7,2025-08-27,2025-09-09,14,-0.9230223801802342,-0.5245102755246854,2025-08-30,2025-09-04,9.28932647496453,Light,1,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Bilinear,8,2025-11-15,2025-11-29,15,-0.7245874138956866,-0.5139314752856173,2025-11-29,2025-11-16,9.359687230882491,Light,1,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Mean3x3,1,2025-01-01,2025-01-10,10,-1.421866430176629,-0.5876324441697862,2025-01-01,2025-01-10,8.89289649327596,Moderate,2,True
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Mean3x3,2,2025-01-14,2025-02-05,23,-1.3688288927078247,-0.5180906984541152,2025-01-26,2025-01-16,21.051847716172535,Moderate,2,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Mean3x3,3,2025-02-15,2025-03-02,16,-1.0007336205906339,-0.590442438920339,2025-03-02,2025-02-15,12.70689735478825,Moderate,2,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Mean3x3,4,2025-04-02,2025-04-23,22,-2.1304091347588434,-0.7561660475201077,2025-04-02,2025-04-22,31.3275326622857,Extreme,4,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Mean3x3,5,2025-06-05,2025-06-16,12,-1.0397271580166287,-0.5823682778411441,2025-06-09,2025-06-16,9.665158867835999,Moderate,2,False
