Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Distance_to_Grid_km,Delta_Drought_Days_Bilinear,AbsDelta_Drought_Days_Bilinear,Delta_Total_Severity_Bilinear,AbsDelta_Total_Severity_Bilinear,Delta_Event_Count_Total_Bilinear,AbsDelta_Event_Count_Total_Bilinear,Delta_Max_Event_Duration_Bilinear,AbsDelta_Max_Event_Duration_Bilinear,Delta_Max_Event_Severity_Bilinear,AbsDelta_Max_Event_Severity_Bilinear,Delta_Worst_Event_Min_SPI_Bilinear,AbsDelta_Worst_Event_Min_SPI_Bilinear,Same_Worst_Event_Level_Bilinear,Delta_Drought_Days_Mean3x3,AbsDelta_Drought_Days_Mean3x3,Delta_Total_Severity_Mean3x3,AbsDelta_Total_Severity_Mean3x3,Delta_Event_Count_Total_Mean3x3,AbsDelta_Event_Count_Total_Mean3x3,Delta_Max_Event_Duration_Mean3x3,AbsDelta_Max_Event_Duration_Mean3x3,Delta_Max_Event_Severity_Mean3x3,AbsDelta_Max_Event_Severity_Mean3x3,Delta_Worst_Event_Min_SPI_Mean3x3,AbsDelta_Worst_Event_Min_SPI_Mean3x3,Same_Worst_Event_Level_Mean3x3
95332231.0,117.7169739,27.06687783,117.72500610351562,27.074996948242188,1.2031,0.0,0.0,-3.1803271325168225,3.1803271325168225,0.0,0.0,0.0,0.0,0.6151268779637675,0.6151268779637675,-0.06475408223378931,0.06475408223378931,True,-1.0,1.0,-8.926525769237855,8.926525769237855,1.0,1.0,-2.0,2.0,0.24760275085767347,0.24760275085767347,-0.1450118223826089,0.1450118223826089,True
95332232.0,117.4091708,25.81640582,117.42498779296875,25.824996948242188,1.8491,-7.0,7.0,-6.399179432414144,6.399179432414144,0.0,0.0,-1.0,1.0,-0.7918080100098486,0.7918080100098486,0.007243242354252777,0.007243242354252777,True,-6.0,6.0,-7.2189337809880385,7.2189337809880385,0.0,0.0,-1.0,1.0,-1.4414515958891947,1.4414515958891947,-0.030313968658447266,0.030313968658447266,True
95332233.0,117.467793,25.89459269,117.47500610351562,25.875,2.295,5.0,5.0,0.19173106197609968,0.19173106197609968,2.0,2.0,-5.0,5.0,-0.6189467826819843,0.6189467826819843,-0.010852810583524608,0.010852810583524608,True,-1.0,1.0,-3.592858227590739,3.592858227590739,2.0,2.0,-6.0,6.0,-0.7625260849793776,0.7625260849793776,0.08502905898623991,0.08502905898623991,True
95332234.0,116.77256,25.47449,116.77499389648438,25.474998474121094,0.2508,-2.0,2.0,-1.5981730785787818,1.5981730785787818,1.0,1.0,0.0,0.0,-0.08700872663018089,0.08700872663018089,0.003448251197337715,0.003448251197337715,True,-17.0,17.0,-12.691169909305046,12.691169909305046,-2.0,2.0,-4.0,4.0,-3.035932272672653,3.035932272672653,0.05003829797108961,0.05003829797108961,True
95332235.0,116.29942,25.47995,116.27499389648438,25.474998474121094,2.513,-2.0,2.0,-2.4446180769429873,2.4446180769429873,0.0,0.0,-1.0,1.0,-0.37059368921125824,0.37059368921125824,0.14897124547698182,0.14897124547698182,True,-7.0,7.0,-4.957876573006303,4.957876573006303,0.0,0.0,-1.0,1.0,-0.6219077242745286,0.6219077242745286,0.4285921255747476,0.4285921255747476,True
95332236.0,116.68835,25.66767,116.67498779296875,25.67499542236328,1.5674,4.0,4.0,2.380049821601318,2.380049821601318,0.0,0.0,0.0,0.0,-0.29826293870795695,0.29826293870795695,0.08972607035145419,0.08972607035145419,True,-3.0,3.0,-0.9562146696779621,0.9562146696779621,0.0,0.0,-1.0,1.0,-0.7881032394038243,0.7881032394038243,0.12151919470893002,0.12151919470893002,True
95332237.0,117.00125,25.69326,117.02499389648438,25.67499542236328,3.1283,-6.0,6.0,1.9915350894278845,1.9915350894278845,-2.0,2.0,2.0,2.0,2.4260606563782403,2.4260606563782403,0.024246585747607075,0.024246585747607075,True,2.0,2.0,3.537592891810675,3.537592891810675,-1.0,1.0,5.0,5.0,3.9967844386895486,3.9967844386895486,0.03773519727918839,0.03773519727918839,True
95332238.0,117.2348565,25.72348088,117.22500610351562,25.724998474121094,1.0011,-1.0,1.0,-1.1287608072330357,1.1287608072330357,0.0,0.0,0.0,0.0,-0.5220084182362541,0.5220084182362541,-0.0031333772240378366,0.0031333772240378366,True,-1.0,1.0,1.4396025273535002,1.4396025273535002,1.0,1.0,-9.0,9.0,-8.133897989988323,8.133897989988323,-0.12855190700954866,0.12855190700954866,True
95332239.0,117.6462713,26.197705,117.625,26.17499542236328,3.2987,3.0,3.0,1.8494909785271147,1.8494909785271147,1.0,1.0,0.0,0.0,-0.18916119377960428,0.18916119377960428,0.004069083631440762,0.004069083631440762,True,4.0,4.0,5.2452266133493595,5.2452266133493595,-1.0,1.0,4.0,4.0,-0.9749359654055638,0.9749359654055638,-0.06664562225341797,0.06664562225341797,True
95332240.0,117.6962543,26.39744371,117.67498779296875,26.375,3.2735,5.0,5.0,1.890401196852082,1.890401196852082,1.0,1.0,0.0,0.0,0.8221057796435929,0.8221057796435929,-0.0010301467577327195,0.0010301467577327195,True,6.0,6.0,3.730945042437952,3.730945042437952,1.0,1.0,0.0,0.0,1.2634650700622103,1.2634650700622103,-0.03380739688873291,0.03380739688873291,True
95332242.0,118.2814144,27.95758117,118.27499389648438,27.974998474121094,2.0368,2.0,2.0,2.8992140435474028,2.8992140435474028,0.0,0.0,0.0,0.0,-0.861072756921061,0.861072756921061,0.04528740566277767,0.04528740566277767,True,2.0,2.0,1.7903267774316873,1.7903267774316873,0.0,0.0,0.0,0.0,-0.9805638293425218,0.9805638293425218,0.10789619551764584,0.10789619551764584,True
95332243.0,118.0908773,27.81907915,118.07501220703125,27.824996948242188,1.6933,-1.0,1.0,-0.34837565167890716,0.34837565167890716,-1.0,1.0,0.0,0.0,1.0221834714155662,1.0221834714155662,-0.019737054845604618,0.019737054845604618,True,1.0,1.0,-3.180892653763294,3.180892653763294,-1.0,1.0,23.0,23.0,21.272878564066346,21.272878564066346,0.02197102705637599,0.02197102705637599,True
95332244.0,116.28577,25.76857,116.27499389648438,25.774993896484375,1.2941,-5.0,5.0,-4.148534411887255,4.148534411887255,-1.0,1.0,0.0,0.0,-0.31360732692762383,0.31360732692762383,0.5085954777750499,0.5085954777750499,True,-5.0,5.0,-6.567601889371872,6.567601889371872,0.0,0.0,0.0,0.0,-0.8406782050927504,0.8406782050927504,0.46298278702629947,0.46298278702629947,True
