lat,lon,magnitude,duration,severity,onset
24.274994,117.92499,-1.4789069,2,2.3169875,202501
24.274994,117.975006,-1.4763619,2,2.310348,202501
24.274994,118.024994,-1.5321736,2,2.3114371,202501
24.274994,118.07501,-1.5178249,2,2.3415482,202501
24.274994,118.125,-1.5354639,2,2.3596282,202501
24.324997,116.92499,-1.5633023,2,2.469138,202501
24.324997,116.975006,-1.6779238,2,2.6039054,202501
24.324997,117.024994,-0.8429494,2,1.3790781,202501
24.324997,117.07501,-0.85552657,2,1.5118641,202501
24.324997,117.125,-1.0150815,2,1.8793358,202501
24.324997,117.17499,-0.9952191,2,1.8436048,202501
24.324997,117.225006,-0.85808283,2,1.6509484,202501
24.324997,117.274994,-0.7817537,1,0.7817537,202502
24.324997,117.32501,-0.7866507,1,0.7866507,202502
24.324997,117.375,-0.80587393,1,0.80587393,202502
24.324997,117.42499,-0.7745514,1,0.7745514,202502
24.324997,117.475006,-0.7902166,1,0.7902166,202502
24.324997,117.524994,-1.3488984,2,2.1154108,202501
24.324997,117.57501,-1.3526675,2,2.1551247,202501
24.324997,117.625,-1.3530319,2,2.1557984,202501
24.324997,117.67499,-1.2923703,2,2.1121893,202501
24.324997,117.725006,-1.3229659,2,2.160181,202501
24.324997,117.774994,-1.4819752,2,2.284714,202501
24.324997,117.82501,-1.481132,2,2.3024852,202501
24.324997,117.875,-1.4656069,2,2.2951872,202501
24.324997,117.92499,-1.4784843,2,2.3042693,202501
24.324997,117.975006,-1.5202625,2,2.356689,202501
24.324997,118.024994,-1.5162196,2,2.3331733,202501
24.324997,118.07501,-1.5620878,2,2.4411275,202501
24.375,116.92499,-1.5121757,2,2.4111216,202501
24.375,116.975006,-1.5890714,2,2.5060177,202501
24.375,117.024994,-0.8459628,1,0.8459628,202502
24.375,117.07501,-0.860224,1,0.860224,202502
24.375,117.125,-0.8644815,1,0.8644815,202502
24.375,117.17499,-0.86136186,1,0.86136186,202502
24.375,117.225006,-0.8769754,1,0.8769754,202502
24.375,117.274994,-0.78663427,1,0.78663427,202502
24.375,117.32501,-0.7905343,1,0.7905343,202502
24.375,117.375,-0.8014429,1,0.8014429,202502
24.375,117.42499,-0.76767826,1,0.76767826,202502
24.375,117.475006,-0.7893436,1,0.7893436,202502
24.375,117.524994,-1.3072035,2,2.0603535,202501
24.375,117.57501,-1.3593237,2,2.1506593,202501
24.375,117.625,-1.3932376,2,2.2081518,202501
24.375,117.67499,-1.3235095,2,2.1486366,202501
24.375,117.725006,-1.3673577,2,2.2145967,202501
24.375,117.774994,-1.5137203,2,2.3279302,202501
24.375,117.82501,-1.489856,2,2.302215,202501
24.375,117.875,-1.466126,2,2.275958,202501
24.375,117.92499,-1.5148642,2,2.3448842,202501
24.375,117.975006,-1.5477518,2,2.3806229,202501
24.375,118.024994,-1.5461228,2,2.38681,202501
24.375,118.07501,-1.5604907,2,2.4434547,202501
24.424995,116.875,-1.3686203,2,2.2514193,202501
24.424995,116.92499,-1.4537239,2,2.3398376,202501
24.424995,116.975006,-1.4904399,2,2.3690393,202501
24.424995,117.024994,-0.8036216,1,0.8036216,202502
24.424995,117.07501,-0.83006924,1,0.83006924,202502
24.424995,117.125,-0.83823323,1,0.83823323,202502
24.424995,117.17499,-0.85868835,1,0.85868835,202502
24.424995,117.225006,-0.8548457,1,0.8548457,202502
24.424995,117.274994,-0.79244375,1,0.79244375,202502
24.424995,117.32501,-0.7554676,1,0.7554676,202502
24.424995,117.375,-0.7556647,1,0.7556647,202502
