Site_ID,YearMonth,DroughtLevel,DroughtLevel_CN,Target_CBI,Normal_CBI,DeltaCBI,Target_Intercept,Normal_Intercept,Target_R2,Normal_R2,Target_n_hours,Normal_n_hours,Target_Macro_SD,Normal_Macro_SD,Pass_Hours,Pass_Macro_SD,Pair_flag,MinDailySPI,SPI_intensity,DurationDays,EventStartDate,EventEndDate,N_events_in_site_month,LAI,FAPAR,soil_moisture,soil_temperature,Longitude,Latitude,elevation,slope,canopy_height,aspect_sin,aspect_cos,nighttime_light,built_up_distance
95332217,2025-05,Moderate,中度干旱,0.6238924771327099,0.5901143444884914,0.03377813264421847,8.742164647161806,8.223284402733114,0.8947209925471795,0.7245465380429449,192,264,3.30418370130679,3.5664912411564313,True,True,ok,-1.404655694961548,1.404655694961548,8,2025-05-20,2025-05-28,2,1.1375000000000002,0.3975,0.32272819975,22.128092450000004,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-05,Severe,重度干旱,,0.5901143444884914,,,8.223284402733114,,0.7245465380429449,24,264,3.097038696706508,3.5664912411564313,False,True,too_few_hours,-1.76066780090332,1.76066780090332,1,2025-05-27,2025-05-27,1,1.7000000000000002,0.51,0.309596134,20.37239583,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-05,Extreme,极端干旱,,0.5901143444884914,,,8.223284402733114,,0.7245465380429449,0,264,,3.5664912411564313,False,False,too_few_hours,,,0,,,0,,,,,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-06,Mild,轻度干旱,0.4740658915715627,,,12.638470809432127,,0.7161201690077504,,456,0,2.8650785459362083,,False,False,too_few_hours,-0.9914026856422424,0.9914026856422424,19,2025-06-02,2025-06-26,4,2.6736842105263166,0.6594736842105263,0.3293770774736843,23.55040433157895,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-06,Moderate,中度干旱,0.5121275218451129,,,11.697706822410211,,0.8039817517833947,,168,0,2.9770641865330174,,False,False,too_few_hours,-1.120758175849915,1.120758175849915,7,2025-06-01,2025-06-25,4,2.1714285714285713,0.5885714285714286,0.33753641485714286,23.66889881142857,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-06,Severe,重度干旱,0.4860745300645049,,,12.453326384225164,,0.7324665578928523,,72,0,3.3026652366151708,,False,False,too_few_hours,-1.864286184310913,1.864286184310913,3,2025-06-27,2025-06-30,2,3.5,0.7799999999999999,0.28028011300000005,24.383463543333335,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-06,Extreme,极端干旱,,,,,,,,24,0,3.185156563789243,,False,False,too_few_hours,-2.0193190574646,2.0193190574646,1,2025-06-28,2025-06-28,1,3.5,0.78,0.279633251,24.48502604,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-07,Mild,轻度干旱,,0.4320125973453763,,,13.870947336200297,,0.7425427498265845,0,144,,1.9093716735884416,False,False,too_few_hours,,,0,,,0,,,,,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-07,Moderate,中度干旱,,0.4320125973453763,,,13.870947336200297,,0.7425427498265845,48,144,3.802075422353875,1.9093716735884416,False,True,too_few_hours,-1.48678457736969,1.48678457736969,2,2025-07-01,2025-07-08,2,3.4000000000000004,0.775,0.2681508965,24.573242190000002,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-07,Severe,重度干旱,0.48939517810509103,0.4320125973453763,0.05738258075971475,11.809805089324048,13.870947336200297,0.8365646638428347,0.7425427498265845,144,144,3.6729235756459055,1.9093716735884416,True,True,ok,-1.86681056022644,1.86681056022644,6,2025-07-02,2025-07-07,1,3.366666666666667,0.7733333333333334,0.2671810003333333,24.582356771666667,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-07,Extreme,极端干旱,,0.4320125973453763,,,13.870947336200297,,0.7425427498265845,0,144,,1.9093716735884416,False,False,too_few_hours,,,0,,,0,,,,,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
