Site_ID,YearMonth,DroughtLevel,Target_n_hours,Normal_n_hours,Target_flag,Normal_flag,Pair_flag
95332219,2025-12,Extreme,0,720,too_few_hours,ok,too_few_hours
95332220,2025-01,Mild,120,0,ok,too_few_hours,too_few_hours
95332220,2025-01,Moderate,144,0,ok,too_few_hours,too_few_hours
95332220,2025-01,Severe,24,0,too_few_hours,too_few_hours,too_few_hours
95332220,2025-01,Extreme,0,0,too_few_hours,too_few_hours,too_few_hours
95332220,2025-02,Mild,168,48,ok,too_few_hours,too_few_hours
95332220,2025-02,Moderate,336,48,ok,too_few_hours,too_few_hours
95332220,2025-02,Severe,96,48,ok,too_few_hours,too_few_hours
95332220,2025-02,Extreme,24,48,too_few_hours,too_few_hours,too_few_hours
95332220,2025-03,Mild,0,120,too_few_hours,ok,too_few_hours
95332220,2025-03,Moderate,48,120,too_few_hours,ok,too_few_hours
95332220,2025-03,Severe,0,120,too_few_hours,ok,too_few_hours
95332220,2025-03,Extreme,0,120,too_few_hours,ok,too_few_hours
95332220,2025-04,Mild,72,240,ok,ok,ok
95332220,2025-04,Moderate,0,240,too_few_hours,ok,too_few_hours
95332220,2025-04,Severe,240,240,ok,ok,ok
95332220,2025-04,Extreme,168,240,ok,ok,ok
95332220,2025-05,Mild,144,600,ok,ok,ok
95332220,2025-05,Moderate,0,600,too_few_hours,ok,too_few_hours
95332220,2025-05,Severe,0,600,too_few_hours,ok,too_few_hours
95332220,2025-05,Extreme,0,600,too_few_hours,ok,too_few_hours
95332220,2025-06,Mild,48,624,too_few_hours,ok,too_few_hours
95332220,2025-06,Moderate,48,624,too_few_hours,ok,too_few_hours
95332220,2025-06,Severe,0,624,too_few_hours,ok,too_few_hours
95332220,2025-06,Extreme,0,624,too_few_hours,ok,too_few_hours
95332220,2025-07,Mild,288,408,ok,ok,ok
95332220,2025-07,Moderate,0,408,too_few_hours,ok,too_few_hours
95332220,2025-07,Severe,0,408,too_few_hours,ok,too_few_hours
95332220,2025-07,Extreme,0,408,too_few_hours,ok,too_few_hours
95332220,2025-08,Mild,72,360,ok,ok,ok
95332220,2025-08,Moderate,0,360,too_few_hours,ok,too_few_hours
95332220,2025-08,Severe,0,360,too_few_hours,ok,too_few_hours
95332220,2025-08,Extreme,0,360,too_few_hours,ok,too_few_hours
95332220,2025-09,Mild,360,312,ok,ok,ok
95332220,2025-09,Moderate,48,312,too_few_hours,ok,too_few_hours
95332220,2025-09,Severe,0,312,too_few_hours,ok,too_few_hours
95332220,2025-09,Extreme,0,312,too_few_hours,ok,too_few_hours
95332220,2025-10,Mild,0,576,too_few_hours,ok,too_few_hours
95332220,2025-10,Moderate,0,576,too_few_hours,ok,too_few_hours
95332220,2025-10,Severe,0,576,too_few_hours,ok,too_few_hours
95332220,2025-10,Extreme,0,576,too_few_hours,ok,too_few_hours
95332220,2025-11,Mild,0,648,too_few_hours,ok,too_few_hours
95332220,2025-11,Moderate,0,648,too_few_hours,ok,too_few_hours
95332220,2025-11,Severe,0,648,too_few_hours,ok,too_few_hours
95332220,2025-11,Extreme,0,648,too_few_hours,ok,too_few_hours
95332220,2025-12,Mild,48,688,too_few_hours,ok,too_few_hours
95332220,2025-12,Moderate,0,688,too_few_hours,ok,too_few_hours
95332220,2025-12,Severe,0,688,too_few_hours,ok,too_few_hours
95332220,2025-12,Extreme,0,688,too_few_hours,ok,too_few_hours
95332221,2025-01,Mild,0,0,too_few_hours,too_few_hours,too_few_hours
95332221,2025-01,Moderate,240,0,ok,too_few_hours,too_few_hours
95332221,2025-01,Severe,48,0,too_few_hours,too_few_hours,too_few_hours
95332221,2025-01,Extreme,0,0,too_few_hours,too_few_hours,too_few_hours
95332221,2025-02,Mild,552,72,ok,ok,ok
95332221,2025-02,Moderate,48,72,too_few_hours,ok,too_few_hours
95332221,2025-02,Severe,0,72,too_few_hours,ok,too_few_hours
95332221,2025-02,Extreme,0,72,too_few_hours,ok,too_few_hours
95332221,2025-03,Mild,0,288,too_few_hours,ok,too_few_hours
95332221,2025-03,Moderate,48,288,too_few_hours,ok,too_few_hours
95332221,2025-03,Severe,0,288,too_few_hours,ok,too_few_hours
95332221,2025-03,Extreme,0,288,too_few_hours,ok,too_few_hours
95332221,2025-04,Mild,264,456,ok,ok,ok
95332221,2025-04,Moderate,0,456,too_few_hours,ok,too_few_hours
95332221,2025-04,Severe,0,456,too_few_hours,ok,too_few_hours
95332221,2025-04,Extreme,0,456,too_few_hours,ok,too_few_hours
95332221,2025-05,Mild,144,552,ok,ok,ok
95332221,2025-05,Moderate,48,552,too_few_hours,ok,too_few_hours
95332221,2025-05,Severe,0,552,too_few_hours,ok,too_few_hours
95332221,2025-05,Extreme,0,552,too_few_hours,ok,too_few_hours
95332221,2025-06,Mild,120,480,ok,ok,ok
95332221,2025-06,Moderate,72,480,ok,ok,ok
95332221,2025-06,Severe,48,480,too_few_hours,ok,too_few_hours
95332221,2025-06,Extreme,0,480,too_few_hours,ok,too_few_hours
95332221,2025-07,Mild,96,360,ok,ok,ok
95332221,2025-07,Moderate,168,360,ok,ok,ok
95332221,2025-07,Severe,0,360,too_few_hours,ok,too_few_hours
95332221,2025-07,Extreme,0,360,too_few_hours,ok,too_few_hours
95332221,2025-08,Mild,24,120,too_few_hours,ok,too_few_hours
95332221,2025-08,Moderate,264,120,ok,ok,ok
95332221,2025-08,Severe,120,120,ok,ok,ok
95332221,2025-08,Extreme,72,120,ok,ok,ok
95332221,2025-09,Mild,120,480,ok,ok,ok
95332221,2025-09,Moderate,120,480,ok,ok,ok
95332221,2025-09,Severe,0,480,too_few_hours,ok,too_few_hours
95332221,2025-09,Extreme,0,480,too_few_hours,ok,too_few_hours
95332221,2025-10,Mild,96,408,ok,ok,ok
95332221,2025-10,Moderate,0,408,too_few_hours,ok,too_few_hours
95332221,2025-10,Severe,0,408,too_few_hours,ok,too_few_hours
95332221,2025-10,Extreme,0,408,too_few_hours,ok,too_few_hours
95332221,2025-11,Mild,0,240,too_few_hours,ok,too_few_hours
95332221,2025-11,Moderate,0,240,too_few_hours,ok,too_few_hours
95332221,2025-11,Severe,0,240,too_few_hours,ok,too_few_hours
95332221,2025-11,Extreme,0,240,too_few_hours,ok,too_few_hours
95332221,2025-12,Mild,256,168,ok,ok,ok
95332221,2025-12,Moderate,288,168,ok,ok,ok
