Site_ID,DroughtLevel,DroughtLevel_CN,n_site_months,DeltaCBI,SPI_intensity,Duration_days,LAI,FAPAR,soil_moisture,soil_temperature,Longitude,Latitude,elevation,slope,aspect_sin,aspect_cos,canopy_height,nighttime_light,built_up_distance
95332221,Mild,轻度干旱,8,0.12035524422213265,0.9982404112815857,69.0,3.8753623188405792,0.7905797101449274,0.27303788213043473,15.496056009710147,117.3608625,26.78347812,318.0,35.6082649230957,-0.8671056826964867,0.4981242164716144,20.0,,
95332221,Moderate,中度干旱,5,0.11016823860957178,1.496477246284485,38.0,5.46578947368421,0.8778947368421054,0.3005392258947368,20.14629591586842,117.3608625,26.78347812,318.0,35.6082649230957,-0.8671056826964867,0.4981242164716144,20.0,,
95332221,Severe,重度干旱,1,0.005096773890713724,1.946232318878174,5.0,5.819999999999999,0.882,0.3289694378,24.190885415999997,117.3608625,26.78347812,318.0,35.6082649230957,-0.8671056826964867,0.4981242164716144,20.0,,
95332222,Mild,轻度干旱,7,0.03200852360437424,0.9968167543411255,58.0,3.522413793103448,0.6889655172413793,0.29386574484482764,20.47990750758621,117.5481259,26.79229729,217.0,21.783729553222656,0.9740080152075118,-0.22651354553651656,9.0,,
95332222,Moderate,中度干旱,4,0.07188580422425635,1.460404634475708,30.0,4.773333333333334,0.8460000000000001,0.24877753493333335,21.060177952666667,117.5481259,26.79229729,217.0,21.783729553222656,0.9740080152075118,-0.22651354553651656,9.0,,
95332222,Severe,重度干旱,2,0.08593933562440133,1.799241423606873,7.0,5.885714285714286,0.8971428571428571,0.3043439861428571,25.174386164285718,117.5481259,26.79229729,217.0,21.783729553222656,0.9740080152075118,-0.22651354553651656,9.0,,
95332223,Mild,轻度干旱,8,0.048284674642895604,0.9936477541923523,84.0,4.0130952380952385,0.7844047619047619,0.3267212731904762,15.576722160511903,117.6007481,26.66962275,443.0,26.401885986328125,0.33108770992934833,0.9435999832205062,19.0,,
95332223,Moderate,中度干旱,6,-0.07078200082083742,1.427320599555969,31.0,5.03225806451613,0.8390322580645161,0.4360099862580645,19.99695480664516,117.6007481,26.66962275,443.0,26.401885986328125,0.33108770992934833,0.9435999832205062,19.0,,
95332223,Severe,重度干旱,2,0.01720911331757694,1.743588924407959,7.0,6.214285714285714,0.8985714285714286,0.476846031,23.584914435714285,117.6007481,26.66962275,443.0,26.401885986328125,0.33108770992934833,0.9435999832205062,19.0,,
95332224,Mild,轻度干旱,7,0.06624096016342067,0.9835110902786255,44.0,2.8545454545454545,0.6472727272727274,0.32691472574999997,18.659534801818186,117.4623274,26.53346358,403.0,26.323511123657227,0.15079795428734463,0.9885646043545925,17.0,,
95332224,Moderate,中度干旱,5,0.006965465757585157,1.459578990936279,38.0,5.355263157894737,0.8702631578947368,0.3376696695789474,21.375925165921053,117.4623274,26.53346358,403.0,26.323511123657227,0.15079795428734463,0.9885646043545925,17.0,,
95332225,Extreme,极端干旱,1,0.02883451396783121,2.157047986984253,5.0,6.140000000000001,0.8939999999999999,0.21632809959999996,25.479557294,117.5158023,27.14893502,318.0,20.862728118896484,0.9916004026713462,0.12933924934846397,15.0,,
95332225,Mild,轻度干旱,7,0.004150105693680411,0.9977991580963135,73.0,2.9808219178082194,0.729041095890411,0.23033161873972605,17.13373109352055,117.5158023,27.14893502,318.0,20.862728118896484,0.9916004026713462,0.12933924934846397,15.0,,
95332225,Moderate,中度干旱,6,-0.01776897926589419,1.487053394317627,34.0,3.544117647058824,0.7558823529411764,0.218410619,20.08321844323529,117.5158023,27.14893502,318.0,20.862728118896484,0.9916004026713462,0.12933924934846397,15.0,,
95332225,Severe,重度干旱,2,-0.008928140627747494,1.940330505371094,16.0,4.2562500000000005,0.7993750000000001,0.2095169785625,25.647583009374998,117.5158023,27.14893502,318.0,20.862728118896484,0.9916004026713462,0.12933924934846397,15.0,,
95332226,Extreme,极端干旱,1,0.03139229307081082,2.123232126235962,3.0,3.3000000000000003,0.77,0.26049268833333333,23.25542535,117.9129664,27.71936172,566.0,25.02536964416504,-0.3643990755162115,0.9312428865569553,21.0,,
95332226,Mild,轻度干旱,5,0.06108446722425365,0.9956560730934143,49.0,1.8285714285714287,0.6589795918367347,0.25913733097959185,16.551804316081633,117.9129664,27.71936172,566.0,25.02536964416504,-0.3643990755162115,0.9312428865569553,21.0,,
95332226,Moderate,中度干旱,5,0.057194258880317074,1.468546152114868,29.0,1.5172413793103448,0.54,0.2530624545517241,18.305226293448275,117.9129664,27.71936172,566.0,25.02536964416504,-0.3643990755162115,0.9312428865569553,21.0,,
95332226,Severe,重度干旱,2,0.026952250006471702,1.958495378494263,17.0,4.270588235294118,0.8182352941176471,0.22390189211764702,23.49034926470588,117.9129664,27.71936172,566.0,25.02536964416504,-0.3643990755162115,0.9312428865569553,21.0,,
95332227,Extreme,极端干旱,2,0.007789946236890852,2.481644868850708,11.0,2.6636363636363636,0.6681818181818181,0.39217638863636367,24.273674245454547,117.7970728,27.56918588,526.0,24.43755531311035,0.010308913976546027,-0.9999468617344744,12.0,,
95332227,Mild,轻度干旱,5,0.022902840741503,0.9982357621192932,41.0,2.458536585365854,0.6763414634146342,0.32959603056097564,19.270928608536583,117.7970728,27.56918588,526.0,24.43755531311035,0.010308913976546027,-0.9999468617344744,12.0,,
95332227,Moderate,中度干旱,6,0.0006042033026143897,1.484672427177429,53.0,1.9830188679245284,0.6328301886792452,0.33092545769811316,19.431259827584903,117.7970728,27.56918588,526.0,24.43755531311035,0.010308913976546027,-0.9999468617344744,12.0,,
95332227,Severe,重度干旱,3,-0.005206162657815562,1.983315229415894,14.0,3.164285714285715,0.7835714285714287,0.37435227664285714,21.95842634,117.7970728,27.56918588,526.0,24.43755531311035,0.010308913976546027,-0.9999468617344744,12.0,,
95332228,Extreme,极端干旱,2,0.09644737142007075,2.336613178253174,13.0,5.300000000000001,0.8830769230769231,0.1898094452307692,25.057141427692308,118.1833673,27.68410527,401.0,19.301204681396484,-0.5462678013559445,-0.8376105832675124,14.0,,
95332228,Mild,轻度干旱,5,0.0704162200026214,0.9889673590660095,50.0,3.846,0.814,0.1794628342,14.53488281298,118.1833673,27.68410527,401.0,19.301204681396484,-0.5462678013559445,-0.8376105832675124,14.0,,
95332228,Moderate,中度干旱,7,0.04213592002636167,1.489148139953613,54.0,3.3722222222222222,0.6181481481481482,0.2162474562037037,20.14705102403704,118.1833673,27.68410527,401.0,19.301204681396484,-0.5462678013559445,-0.8376105832675124,14.0,,
95332228,Severe,重度干旱,2,0.049338774201318714,1.99524188041687,10.0,5.6899999999999995,0.891,0.1781186427,25.187109376000002,118.1833673,27.68410527,401.0,19.301204681396484,-0.5462678013559445,-0.8376105832675124,14.0,,
95332229,Mild,轻度干旱,5,0.09471452177678509,0.9963131546974182,56.0,3.992857142857143,0.8280357142857143,0.3150345248392857,11.928362165910714,117.8937625,27.86000655,545.0,25.351821899414062,0.9291640980953915,0.36966752469019737,19.0,,
95332229,Moderate,中度干旱,5,0.06554641477194187,1.496098518371582,31.0,4.735483870967743,0.8432258064516129,0.32325468506451605,14.297589046354839,117.8937625,27.86000655,545.0,25.351821899414062,0.9291640980953915,0.36966752469019737,19.0,,
