Site_ID,YearMonth,DroughtLevel,DroughtLevel_CN,Target_CBI,Normal_CBI,DeltaCBI,Target_Intercept,Normal_Intercept,Target_R2,Normal_R2,Target_n_hours,Normal_n_hours,Target_Macro_SD,Normal_Macro_SD,Pass_Hours,Pass_Macro_SD,Pair_flag,MinDailySPI,SPI_intensity,DurationDays,EventStartDate,EventEndDate,N_events_in_site_month,LAI,FAPAR,soil_moisture,soil_temperature,Longitude,Latitude,elevation,slope,canopy_height,aspect_sin,aspect_cos,nighttime_light,built_up_distance,Duration_days
95332220,2025-07,Mild,轻度干旱,0.5682926241693782,0.6720378843243241,-0.1037452601549459,10.695120450463918,7.599029246783584,0.7714923259001697,0.8513688212375069,288,408,2.6177000875723677,2.7719001961622047,True,True,ok,-0.9328961968421936,0.9328961968421936,12,2025-07-02,2025-07-20,2,6.033333333333334,0.9041666666666667,0.3067637583333333,24.827202690833328,116.11679,25.25292,507.0,23.232879638671875,16.0,0.906834659071486,0.421486537278122,,,12
95332220,2025-08,Mild,轻度干旱,0.5115354622292967,0.5591778524114401,-0.047642390182143446,11.220986040038442,9.907738287614002,0.8064060061399106,0.675345750318669,72,360,2.6925371561491964,2.7740380428981943,True,True,ok,-0.7003767490386963,0.7003767490386963,3,2025-08-29,2025-08-31,1,3.1,0.7399999999999999,0.322341015,23.93988715333333,116.11679,25.25292,507.0,23.232879638671875,16.0,0.906834659071486,0.421486537278122,,,3
95332220,2025-09,Mild,轻度干旱,0.5273260525441138,0.41392188659531565,0.11340416594879815,10.922279967946032,13.160221038332185,0.8826726285754463,0.7043081638110593,360,312,2.7297855531584534,2.7091887006952304,True,True,ok,-0.9891442656517029,0.9891442656517029,15,2025-09-03,2025-09-23,4,5.333333333333332,0.8673333333333335,0.2950773482000001,24.057812499999997,116.11679,25.25292,507.0,23.232879638671875,16.0,0.906834659071486,0.421486537278122,,,15
95332221,2025-02,Mild,轻度干旱,0.713146100728291,0.5634481186710729,0.14969798205721807,2.452000116302978,3.386850904073036,0.799279382175079,0.6608579816664887,552,72,3.961019354072811,2.412223527055693,True,True,ok,-0.9196736216545105,0.9196736216545105,23,2025-02-02,2025-02-27,3,2.404347826086956,0.7091304347826085,0.21662819799999997,9.872141079130438,117.3608625,26.78347812,318.0,35.6082649230957,20.0,-0.8671056826964867,0.4981242164716144,,,23
95332221,2025-04,Mild,轻度干旱,0.7844072604849225,0.718635311977618,0.0657719485073045,1.4623847908003533,4.113569847666806,0.8852894383187345,0.859875989769875,264,456,4.341134409151408,4.767769866869097,True,True,ok,-0.7127553224563599,0.7127553224563599,11,2025-04-03,2025-04-17,2,4.1090909090909085,0.8163636363636364,0.3388808907272727,14.26171875090909,117.3608625,26.78347812,318.0,35.6082649230957,20.0,-0.8671056826964867,0.4981242164716144,,,11
95332221,2025-05,Mild,轻度干旱,0.9355297098815344,0.5875836074131189,0.3479461024684155,-0.06400222999056382,7.901834323933709,0.8418665830090738,0.6774516005844726,144,552,3.6354795517829364,3.1819115286121664,True,True,ok,-0.9775543808937073,0.9775543808937073,6,2025-05-11,2025-05-21,3,5.033333333333333,0.8466666666666668,0.3668713335,19.59733073,117.3608625,26.78347812,318.0,35.6082649230957,20.0,-0.8671056826964867,0.4981242164716144,,,6
95332221,2025-06,Mild,轻度干旱,0.5451587387158966,0.5890306122249648,-0.04387187350906818,10.302522967304737,8.842641780331002,0.8489364721516501,0.7792169784275973,120,480,2.8406825755285867,2.8479560625631826,True,True,ok,-0.9688402414321899,0.9688402414321899,5,2025-06-21,2025-06-25,1,4.7,0.8400000000000001,0.37900324700000004,23.473437502,117.3608625,26.78347812,318.0,35.6082649230957,20.0,-0.8671056826964867,0.4981242164716144,,,5
95332221,2025-06,Moderate,中度干旱,0.5760191789541477,0.5890306122249648,-0.013011433270817108,9.112244880195604,8.842641780331002,0.8117311007618672,0.7792169784275973,72,480,3.675076536476318,2.8479560625631826,True,True,ok,-1.491641521453857,1.491641521453857,3,2025-06-26,2025-06-30,3,6.1000000000000005,0.9,0.37546556966666667,23.870442710000003,117.3608625,26.78347812,318.0,35.6082649230957,20.0,-0.8671056826964867,0.4981242164716144,,,3
95332221,2025-07,Mild,轻度干旱,0.5131046698402956,0.49430186055345143,0.018802809286844135,11.549445869431407,12.585610957097513,0.8657731706253087,0.8234158743879131,96,360,3.0934330897310476,2.5448151282162463,True,True,ok,-0.8717114329338074,0.8717114329338074,4,2025-07-08,2025-07-11,1,6.800000000000001,0.91,0.356434882,24.055989585000003,117.3608625,26.78347812,318.0,35.6082649230957,20.0,-0.8671056826964867,0.4981242164716144,,,4
95332221,2025-07,Moderate,中度干旱,0.6353180884674219,0.49430186055345143,0.14101622791397045,7.75545499876889,12.585610957097513,0.9257261202209152,0.8234158743879131,168,360,3.680254774918404,2.5448151282162463,True,True,ok,-1.371792078018188,1.371792078018188,7,2025-07-01,2025-07-07,1,6.5,0.9057142857142858,0.36024367885714287,24.36560639857143,117.3608625,26.78347812,318.0,35.6082649230957,20.0,-0.8671056826964867,0.4981242164716144,,,7
