Window_Days,Window_End_Relative_Day,Median_Delta_CBI,Q25_Delta_CBI,Q75_Delta_CBI,N_events,N_sites,N_windows
14,-53,0.22755153741821554,0.22755153741821554,0.22755153741821554,1,1,1
14,-52,0.24314973567208265,0.24314973567208265,0.24314973567208265,1,1,1
14,-51,0.25937253040023656,0.25937253040023656,0.25937253040023656,1,1,1
14,-50,0.26696480909927445,0.26696480909927445,0.26696480909927445,1,1,1
14,-49,0.2772929659346395,0.2772929659346395,0.2772929659346395,1,1,1
14,-48,0.2879644214155792,0.2879644214155792,0.2879644214155792,1,1,1
14,-47,0.28778117769245537,0.28778117769245537,0.28778117769245537,1,1,1
14,-46,0.28904712862617976,0.28904712862617976,0.28904712862617976,1,1,1
14,-45,0.30714368117118374,0.30714368117118374,0.30714368117118374,1,1,1
14,-44,0.22558032111767112,0.22558032111767112,0.22558032111767112,1,1,1
14,-43,0.023079072510692966,-0.05143371201023017,0.0975918570316161,2,2,2
14,-42,0.04620355108626595,-0.045508051470964844,0.1164769048154439,4,4,4
14,-41,0.03022285849138437,-0.05718006903028382,0.10640473225076838,4,4,4
14,-40,0.028193950245729876,-0.04294848705293748,0.08930382677838145,4,4,4
14,-39,0.00908058522808175,-0.055416597509365145,0.07309628733332765,4,4,4
14,-38,0.035366595874494866,-0.0021324646579458095,0.055826906189089365,4,5,5
14,-37,0.03132682418508259,9.555214529421985e-05,0.06534794830234725,4,5,5
14,-36,0.08897109884024246,0.012946731716858784,0.11924501829407558,4,7,7
14,-35,0.10030577935432383,0.011138618858449273,0.1165464198017529,4,7,7
14,-34,0.10080201503821662,0.01658503327934993,0.11206178249000487,4,7,7
14,-33,0.11441257347427292,0.024710641642707754,0.1223652003485799,4,7,7
14,-32,0.08361343152986411,0.029215822218204873,0.1317536400735292,4,7,7
14,-31,0.08118396250783,0.02387871258280011,0.1259872184213201,4,11,11
14,-30,0.07387075263116802,0.02251226072807508,0.11118941398829925,4,12,12
14,-29,0.06550953967321702,0.011017133750114344,0.12509346975625113,4,12,12
14,-28,0.05910722766813212,0.008910923829521411,0.1245917126044871,4,14,14
14,-27,0.06810162839901332,0.010886991490118278,0.13087184098991472,4,14,14
14,-26,0.07565535352187172,0.008988932515387626,0.12396670199320331,4,14,14
14,-25,0.09202973459667663,0.019652253521723992,0.11623798805168928,4,14,14
14,-24,0.09250800891984973,0.03948015923599332,0.11928037711611877,4,14,14
14,-23,0.086506414176647,0.04557584866319478,0.10185745526476507,4,14,14
