ScenarioID,Site_ID,Event_ID,Event_Start_Date,Event_End_Date,Duration_Days,Minimum_SPI,Stage,Stage_Label,Window_Type,Window_Start,Window_End,Window_Days,Window_End_Relative_Day,Reference_CBI,Reference_Flag,Pair_Flag,Window_CBI,Window_Intercept,Window_R2,Window_n_hours,Window_MacroSD,Window_Flag,Delta_CBI
BASE,95332220,4,2025-04-02,2025-04-21,20,-2.0098748207092285,Early,事件前段,event_phase,2025-04-02,2025-04-08,7,,0.7001055956637864,ok,ok,0.7712544231136718,1.848972907513554,0.8229412353441491,168,4.362423094425614,ok,0.07114882744988538
BASE,95332220,4,2025-04-02,2025-04-21,20,-2.0098748207092285,Middle,事件中段,event_phase,2025-04-09,2025-04-15,7,,0.7001055956637864,ok,ok,0.8911273037915382,0.8729943822518038,0.8906526811826421,168,4.618552059469961,ok,0.19102170812775177
BASE,95332220,4,2025-04-02,2025-04-21,20,-2.0098748207092285,Late,事件后段,event_phase,2025-04-16,2025-04-21,6,,0.7001055956637864,ok,ok,0.5966043843341794,7.710358246999796,0.7386427189478738,144,2.9765014675710906,ok,-0.10350121132960699
BASE,95332220,4,2025-04-02,2025-04-21,20,-2.0098748207092285,R01_07,结束后1-7天,recovery,2025-04-22,2025-04-28,7,7.0,0.7001055956637864,ok,ok,0.6573955052850863,5.571370846269026,0.7561686645807058,168,3.089402120855978,ok,-0.042710090378700105
BASE,95332220,4,2025-04-02,2025-04-21,20,-2.0098748207092285,R08_14,结束后8-14天,recovery,2025-04-29,2025-05-05,7,14.0,0.7001055956637864,ok,ok,0.6432215708905774,6.629534219078693,0.7978278336227703,168,3.1209567061113486,ok,-0.056884024773208974
BASE,95332220,4,2025-04-02,2025-04-21,20,-2.0098748207092285,R15_30,结束后15-30天,recovery,2025-05-06,2025-05-21,16,30.0,0.7001055956637864,ok,ok,0.8099804011571653,3.3440142400612665,0.8077134191967832,384,3.2819399675252185,ok,0.10987480549337891
BASE,95332221,7,2025-08-12,2025-09-09,29,-2.27681040763855,FullEvent,完整事件,event_reproduction,2025-08-12,2025-09-09,29,,0.5523579817957966,ok,ok,0.5753470684594817,9.471602629564876,0.797007810961001,696,3.1689286804269576,ok,0.022989086663685043
BASE,95332221,7,2025-08-12,2025-09-09,29,-2.27681040763855,Early,事件前段,event_phase,2025-08-12,2025-08-21,10,,0.5523579817957966,ok,ok,0.6236435927048355,8.564737894191353,0.7991471736856974,240,2.92423061452527,ok,0.07128561090903884
BASE,95332221,7,2025-08-12,2025-09-09,29,-2.27681040763855,Middle,事件中段,event_phase,2025-08-22,2025-08-31,10,,0.5523579817957966,ok,ok,0.586398787465667,8.801241636453193,0.8340408889750064,240,3.378015638545991,ok,0.03404080566987033
BASE,95332221,7,2025-08-12,2025-09-09,29,-2.27681040763855,Late,事件后段,event_phase,2025-09-01,2025-09-09,9,,0.5523579817957966,ok,ok,0.5289135670451947,10.716570756367968,0.8314737396680338,216,3.1933192984081216,ok,-0.023444414750601994
BASE,95332221,7,2025-08-12,2025-09-09,29,-2.27681040763855,R01_07,结束后1-7天,recovery,2025-09-10,2025-09-16,7,7.0,0.5523579817957966,ok,ok,0.5627035742223775,10.26358694097328,0.8196094662022327,168,3.181315048443682,ok,0.01034559242658084
