Site_ID,YearMonth,Month,Target_Class,Target_CBI,Target_n_hours_recomputed,Target_Macro_SD_recomputed,Normal_CBI,Normal_n_hours_recomputed,Normal_Macro_SD_recomputed,Delta_CBI,Target_Class_CN,Target_n_hours,Normal_n_hours_for_pair,Target_Macro_SD,Normal_Macro_SD_for_pair,Pass_Hours,Pass_Target_Macro_SD,Pass_Normal_Macro_SD,Pass_Hours_Plus_Macro_SD
95332222,2025-07,7,Mild,0.7302112945453418,120,2.8587440797119323,0.8645813904330818,336,2.539320800134666,-0.13437009588773996,轻度干旱,120,336,2.858744079711933,2.539320800134665,True,True,True,True
95332222,2025-08,8,Mild,0.975491139308898,192,3.0583033815865326,1.038454250770621,120,3.151939853955981,-0.06296311146172295,轻度干旱,192,120,3.058303381586533,3.151939853955981,True,True,True,True
95332222,2025-09,9,Mild,1.0009613937865423,216,2.798818369979778,1.1191362073351154,360,3.158679029343182,-0.11817481354857318,轻度干旱,216,360,2.798818369979774,3.158679029343178,True,True,True,True
95332222,2025-12,12,Mild,0.9712558982919447,280,4.616808204708871,0.8944968892273892,168,3.8812745605733294,0.07675900906455546,轻度干旱,280,168,4.61680820470887,3.881274560573328,True,True,True,True
95332223,2025-02,2,Mild,0.7485685926599782,504,3.998986694640984,0.662649938822885,72,2.1630930499335785,0.08591865383709318,轻度干旱,504,72,3.998986694640986,2.1630930499335785,True,True,True,True
95332223,2025-04,4,Mild,0.8722749229524411,192,4.624065511128831,0.8067923802630692,408,4.62456077850701,0.06548254268937193,轻度干旱,192,408,4.624065511128829,4.624560778507007,True,True,True,True
95332223,2025-05,5,Mild,0.7062670573579481,168,3.0013677521728677,0.7546338593885308,528,3.3667361003674436,-0.048366802030582634,轻度干旱,168,528,3.001367752172868,3.366736100367444,True,True,True,True
95332223,2025-06,6,Mild,0.5759263583886198,144,2.8469347995647563,0.7164104873545728,408,2.8526519316227437,-0.14048412896595297,轻度干旱,144,408,2.8469347995647545,2.852651931622745,True,True,True,True
95332223,2025-07,7,Mild,0.5099899082911845,168,3.6379983044498787,0.7046694542317372,312,2.480235152811025,-0.1946795459405527,轻度干旱,168,312,3.63799830444988,2.4802351528110265,True,True,True,True
95332223,2025-08,8,Mild,0.6516167393471323,216,3.207781101082842,0.5199428586962505,120,2.858719484077421,0.1316738806508818,轻度干旱,216,120,3.207781101082842,2.85871948407742,True,True,True,True
95332223,2025-09,9,Mild,0.4859897806318996,168,2.6181816231230446,0.5505259694616793,336,3.2113580706511584,-0.06453618882977968,轻度干旱,168,336,2.618181623123041,3.2113580706511597,True,True,True,True
95332223,2025-12,12,Mild,0.796485902697016,448,4.566570607148615,0.6102396814626221,264,3.8862675246591967,0.18624622123439394,轻度干旱,448,264,4.566570607148615,3.886267524659197,True,True,True,True
95332224,2025-04,4,Mild,1.035906460867258,264,4.540140381877458,0.8941329049791001,432,4.668386948151885,0.14177355588815777,轻度干旱,264,432,4.540140381877458,4.668386948151883,True,True,True,True
95332224,2025-05,5,Mild,0.8486513338299356,72,2.606743076238449,0.8439743052243327,576,3.4693806413799706,0.004677028605602929,轻度干旱,72,576,2.6067430762384505,3.4693806413799666,True,True,True,True
95332224,2025-06,6,Mild,0.9128570747677539,72,3.0973733096738343,0.8732253602762167,456,2.79227730602051,0.03963171449153724,轻度干旱,72,456,3.0973733096738347,2.7922773060205124,True,True,True,True
95332224,2025-07,7,Mild,0.8362793732138234,72,3.876293941503643,0.8515608283768024,312,2.447797275495155,-0.015281455162978963,轻度干旱,72,312,3.876293941503645,2.447797275495154,True,True,True,True
95332224,2025-08,8,Mild,0.8637659259300676,216,2.9579264130353393,0.9328501378023034,144,3.14819905984807,-0.06908421187223579,轻度干旱,216,144,2.957926413035338,3.1481990598480705,True,True,True,True
95332224,2025-09,9,Mild,0.8831076998144425,96,2.956294237250176,0.753970482485726,432,3.096296308923805,0.12913721732871652,轻度干旱,96,432,2.956294237250176,3.0962963089238045,True,True,True,True
95332224,2025-12,12,Mild,0.7487854785948047,256,4.591598022225261,0.6239472689444825,240,4.007347461479878,0.12483820965032222,轻度干旱,256,240,4.591598022225263,4.007347461479877,True,True,True,True
95332225,2025-02,2,Mild,0.7023015709996665,480,4.063914946230343,0.6867038759492867,168,2.8458473331382956,0.015597695050379778,轻度干旱,480,168,4.063914946230343,2.845847333138296,True,True,True,True
95332225,2025-04,4,Mild,0.8582790968146629,96,4.007116068950161,0.8910344252690656,456,4.2296810007560754,-0.032755328454402766,轻度干旱,96,456,4.007116068950159,4.229681000756073,True,True,True,True
95332225,2025-05,5,Mild,0.9589991883682829,144,4.405368138389344,0.8916668178678983,504,3.180061638747179,0.06733237050038465,轻度干旱,144,504,4.405368138389343,3.18006163874718,True,True,True,True
95332225,2025-06,6,Mild,0.8262504049515386,120,2.9305292119486044,0.7472837026655894,144,3.034201075130492,0.07896670228594915,轻度干旱,120,144,2.930529211948605,3.034201075130493,True,True,True,True
95332225,2025-07,7,Mild,0.8818442883588966,192,3.36694805563988,1.064529968556893,456,2.610408803856214,-0.18268568019799636,轻度干旱,192,456,3.36694805563988,2.610408803856216,True,True,True,True
95332225,2025-09,9,Mild,1.0535258340689833,288,3.168492136530096,0.987599334999343,168,3.113382266962227,0.06592649906964021,轻度干旱,288,168,3.168492136530096,3.113382266962226,True,True,True,True
95332225,2025-12,12,Mild,0.8333154365090442,424,4.818659404573766,0.833672945022104,72,4.426294683236926,-0.00035750851305982323,轻度干旱,424,72,4.818659404573769,4.426294683236926,True,True,True,True
95332226,2025-04,4,Mild,0.6151024706709488,216,3.83995687384477,0.6513951851706549,360,4.811633201391392,-0.03629271449970606,轻度干旱,216,360,3.839956873844772,4.811633201391394,True,True,True,True
95332226,2025-06,6,Mild,0.34892968044023204,144,2.816424703309129,0.5090725229706049,408,2.7468649015909423,-0.16014284253037286,轻度干旱,144,408,2.816424703309129,2.746864901590941,True,True,True,True
95332226,2025-08,8,Mild,0.4774492129670565,144,2.922966953857607,0.44774716758155564,120,2.458458331481548,0.029702045385500864,轻度干旱,144,120,2.922966953857607,2.458458331481548,True,True,True,True
95332226,2025-09,9,Mild,0.42609990414559545,216,3.5031895612314226,0.32999972463174526,216,3.265185259811848,0.09610017951385019,轻度干旱,216,216,3.503189561231422,3.265185259811845,True,True,True,True
95332226,2025-12,12,Mild,0.5284825308642739,448,4.86216226442038,0.35808692603636005,96,4.535859048285791,0.17039560482791383,轻度干旱,448,96,4.862162264420379,4.53585904828579,True,True,True,True
95332227,2025-04,4,Mild,0.7639547984044801,192,3.722671705771546,0.7229700448433414,384,4.912631135589116,0.04098475356113873,轻度干旱,192,384,3.722671705771545,4.912631135589114,True,True,True,True
95332227,2025-06,6,Mild,0.4573795657092775,144,2.8814980827599177,0.6006213528324982,432,2.7685133136829365,-0.14324178712322067,轻度干旱,144,432,2.8814980827599177,2.768513313682937,True,True,True,True
95332227,2025-07,7,Mild,0.500701618340318,240,2.7554945516689426,0.5311608471176897,144,3.0651650223802687,-0.030459228777371727,轻度干旱,240,144,2.7554945516689435,3.0651650223802687,True,True,True,True
95332227,2025-09,9,Mild,0.5571839526068807,168,3.574109718480878,0.4579032920602133,168,3.310543084720256,0.0992806605466674,轻度干旱,168,168,3.5741097184808788,3.310543084720255,True,True,True,True
95332227,2025-12,12,Mild,0.6768270801736118,232,4.627058643346592,0.5688053973137237,72,4.865494202170282,0.10802168285988811,轻度干旱,232,72,4.627058643346594,4.865494202170283,True,True,True,True
95332228,2025-02,2,Mild,0.8637391172584532,432,3.8802153553626257,0.5670202478135911,72,2.7094040249732214,0.29671886944486214,轻度干旱,432,72,3.8802153553626257,2.70940402497322,True,True,True,True
95332228,2025-04,4,Mild,0.8988110716385623,96,4.739869590882652,0.9297709657719988,480,4.302603202593644,-0.030959894133436472,轻度干旱,96,480,4.739869590882651,4.302603202593648,True,True,True,True
95332228,2025-06,6,Mild,0.5250842027593514,120,2.557021530259715,0.7800527150570542,432,2.5952476446583663,-0.2549685122977028,轻度干旱,120,432,2.557021530259716,2.595247644658369,True,True,True,True
95332228,2025-07,7,Mild,0.5762822464516383,144,2.3633208326463357,0.6519039617050787,120,2.902404908751596,-0.07562171525344041,轻度干旱,144,120,2.363320832646336,2.902404908751596,True,True,True,True
95332228,2025-12,12,Mild,0.8526703219808267,400,4.709020217392623,0.8507712761180941,120,4.440626763298327,0.0018990458627325957,轻度干旱,400,120,4.709020217392623,4.440626763298325,True,True,True,True
95332229,2025-02,2,Mild,0.721402441407612,456,3.7150731811020505,0.6320736681300896,72,2.325858366285683,0.08932877327752242,轻度干旱,456,72,3.715073181102052,2.3258583662856838,True,True,True,True
95332229,2025-04,4,Mild,0.8718734074633552,240,3.779072533866825,0.7563784782057679,360,4.320677695324848,0.11549492925758731,轻度干旱,240,360,3.779072533866826,4.320677695324852,True,True,True,True
