Site_ID,Event_ID,Start_Date,End_Date,Duration_Days,Severity,Min_Daily_SPI,Edge_Truncated_x,Event_CBI,Event_Intercept,Event_R2,Event_n_hours,Event_CBI_flag,Reference_Search_Start,Reference_Search_End,Reference_Target_Days,Reference_Available_Normal_Days,Reference_Qualified_Normal_Days,Reference_Selected_Normal_Days,Reference_Min_Valid_Hours_Per_Day,Reference_CBI,Reference_Intercept,Reference_R2,Reference_n_hours,Reference_CBI_flag,Delta_CBI,Pair_flag,Drought_Level,Drought_Level_Code,Station_Lon,Station_Lat,Edge_Truncated_y,Response_Group
95332227,6,2025-08-11,2025-09-23,44,67.75691944360733,-2.481644868850708,False,0.5236894012669755,10.421214319536876,0.7013278573815738,1056,ok,2025-09-25,2025-10-24,30,19,19,19,18,0.6607071912776324,6.2388990321470885,0.8834915372816352,456,ok,-0.1370177900106569,ok,Extreme,4,117.7970728,27.56918588,False,Strengthened
95332228,6,2025-08-12,2025-09-12,32,57.857635140419006,-2.336613178253174,False,0.8183495111772902,4.364442325013208,0.791879963328582,768,ok,2025-09-14,2025-10-13,30,30,30,30,18,0.8817003381317174,2.530915601640494,0.8507402354511545,720,ok,-0.0633508269544272,ok,Extreme,4,118.1833673,27.68410527,False,Strengthened
95332229,7,2025-08-12,2025-09-12,32,44.885386288166046,-2.1005795001983643,False,0.4972980953016951,11.38468595158352,0.7638709452242909,768,ok,2025-09-14,2025-10-13,30,26,26,26,18,0.3902269374276331,13.55643313153259,0.6508156298208956,624,ok,0.107071157874062,ok,Extreme,4,117.8937625,27.86000655,False,Weakened
95332230,6,2025-08-12,2025-09-17,37,58.648909509181976,-2.39896559715271,False,0.8232401073192134,3.15622301836747,0.8290834937225036,888,ok,2025-09-19,2025-10-18,30,27,27,27,18,0.7080473409246435,5.4588518411964095,0.8350699502389429,648,ok,0.1151927663945698,ok,Extreme,4,118.1949041,27.56726697,False,Weakened
95332231,5,2025-08-11,2025-09-18,39,55.17359781265259,-2.299917221069336,False,0.4655998969410493,12.1978855835917,0.7341990341373944,936,ok,2025-09-20,2025-10-19,30,20,20,20,18,0.4213781248404654,12.679677642522964,0.7958930032592232,480,ok,0.0442217721005839,ok,Extreme,4,117.7169739,27.06687783,False,Stable
95332233,6,2025-06-21,2025-07-11,21,26.46912014484405,-2.105762243270874,False,0.5918684389899925,9.377471357070968,0.8140602530515993,504,ok,2025-07-13,2025-08-11,21,12,12,12,18,0.5833059414365034,10.243227806235632,0.8316471841109033,288,ok,0.0085624975534891,ok,Extreme,4,117.467793,25.89459269,False,Stable
95332235,3,2025-02-08,2025-03-02,23,27.57739096879959,-2.107394218444824,False,0.8284572219437744,1.226698423389358,0.8822597359112005,552,ok,2025-03-04,2025-04-02,23,5,5,5,18,0.6355621909271961,3.2297876498199782,0.8830888723833061,120,ok,0.1928950310165782,ok,Extreme,4,116.29942,25.47995,False,Weakened
95332235,4,2025-04-02,2025-04-21,20,31.88193041086197,-2.4802095890045166,False,0.9201740513931488,-0.9137911179901614,0.8332949568333625,480,ok,2025-04-23,2025-05-22,20,29,29,20,18,0.6876368847446293,4.939207031173462,0.718668451392125,480,ok,0.2325371666485195,ok,Extreme,4,116.29942,25.47995,False,Weakened
95332236,4,2025-04-02,2025-04-23,22,34.75395089387894,-2.785902738571167,False,0.97598150589302,-0.1085373859338538,0.7541264521473576,528,ok,2025-04-25,2025-05-24,22,29,29,22,18,1.0987128307576457,-2.7173333081790894,0.7723220207305773,528,ok,-0.1227313248646256,ok,Extreme,4,116.68835,25.66767,False,Strengthened
95332236,5,2025-06-19,2025-07-19,31,35.36875170469284,-2.224727153778076,False,1.3533926823339435,-9.104680951902274,0.760576070196791,744,ok,2025-07-21,2025-08-19,30,10,10,10,18,1.2645633931058209,-6.841364815120222,0.7780507642644877,240,ok,0.0888292892281228,ok,Extreme,4,116.68835,25.66767,False,Weakened
