AnalysisLayer,EvidenceChain,ScenarioID,Site_ID,Event_ID,Start_Date,End_Date,Duration_Days,Minimum_SPI,Drought_Level,Severity,Edge_Truncated,Reference_Search_Start,Reference_Search_End,Reference_Target_Days,Reference_Selected_Days,Event_MacroSD_Threshold,Event_CBI,Event_n_hours,Event_MacroSD,Event_Flag,Reference_CBI,Reference_n_hours,Reference_MacroSD,Reference_Flag,Delta_CBI,Pair_Flag,Event_ID_Robustness,Min_Daily_SPI
Hourly_state,Event_reference,E15,95332220,3.0,2025-02-08,2025-03-02,23,-2.037058115005493,Extreme,27.87490612268448,False,2025-03-04,2025-04-02,23,6,,0.8437714784170636,552,5.161636512155838,ok,0.8694338214301319,144,6.368264372214994,ok,-0.025662343013068356,ok,,
Hourly_state,Event_reference,E15,95332220,4.0,2025-04-02,2025-04-21,20,-2.0098748207092285,Extreme,32.95291793346405,False,2025-04-23,2025-05-22,20,20,,0.8644735133765484,480,4.575208045784468,ok,0.7001055956637864,480,3.420722501598136,ok,0.16436791771276205,ok,,
Hourly_state,Event_reference,E15,95332221,1.0,2025-01-01,2025-02-05,36,-1.6161679029464722,Severe,43.21819126605988,True,2025-02-07,2025-03-08,30,8,,0.7032255017153786,408,4.908734405109408,ok,0.7239375002617918,192,4.524679355643403,ok,-0.020711998546413257,ok,,
Hourly_state,Event_reference,E15,95332221,6.0,2025-06-21,2025-07-11,21,-1.638392448425293,Severe,23.12489062547684,False,2025-07-13,2025-08-11,21,19,,0.574850323689152,504,3.529203551880219,ok,0.4875178041488714,456,2.8616905237007417,ok,0.0873325195402806,ok,,
Hourly_state,Event_reference,E15,95332221,7.0,2025-08-12,2025-09-09,29,-2.27681040763855,Extreme,38.69769525527954,False,2025-09-11,2025-10-10,29,25,,0.5753470684594817,696,3.1689286804269576,ok,0.5523579817957966,600,3.3537460632989053,ok,0.022989086663685043,ok,,
Hourly_state,Event_reference,E15,95332221,8.0,2025-12-10,2025-12-31,22,-1.5541092157363892,Severe,24.042314529418945,True,2026-01-02,2026-01-31,22,0,,0.6692847866741536,520,4.679911871276355,ok,,0,,insufficient_hours,,event=ok;reference=insufficient_hours,,
Hourly_state,Event_reference,E15,95332222,1.0,2025-01-01,2025-02-05,36,-1.6394526958465576,Severe,39.54259365797043,True,2025-02-07,2025-03-08,30,7,,0.9659619090412945,408,4.828303214734235,ok,0.8635609179611268,168,4.485591798677073,ok,0.10240099108016776,ok,,
Hourly_state,Event_reference,E15,95332222,6.0,2025-06-21,2025-07-12,22,-1.7227922677993774,Severe,24.143233060836792,False,2025-07-14,2025-08-12,22,18,,0.8625840698533801,528,3.5095508149326986,ok,0.8844462469018768,432,2.8473840668351755,ok,-0.02186217704849669,ok,,
Hourly_state,Event_reference,E15,95332222,7.0,2025-08-12,2025-09-11,31,-1.7992414236068726,Severe,34.8956190943718,False,2025-09-13,2025-10-12,30,26,,1.0665354399254763,744,3.109599183505911,ok,1.163261764076635,624,3.3655069760134846,ok,-0.09672632415115867,ok,,
Hourly_state,Event_reference,E15,95332222,8.0,2025-12-10,2025-12-31,22,-1.5723817348480225,Severe,23.634492456912994,True,2026-01-02,2026-01-31,22,0,,0.969124855482353,520,4.5933726093537555,ok,,0,,insufficient_hours,,event=ok;reference=insufficient_hours,,
