AnalysisLayer,EvidenceChain,Site_ID,YearMonth,Extreme,Normal,Delta_CBI,ScenarioID
Hourly_state,SiteMonth_CBI,95332244,2025-06,0.4723893551591143,0.5301469096686112,-0.05775755450949693,C3
Hourly_state,SiteMonth_CBI,95332228,2025-08,0.7138854641255395,0.7008623060103245,0.013023158115215039,C4
Hourly_state,SiteMonth_CBI,95332235,2025-04,0.7559627861342096,0.7872179359193673,-0.03125514978515764,C4
Hourly_state,SiteMonth_CBI,95332236,2025-04,0.9414734675645315,1.0443281751274969,-0.10285470756296533,C4
Hourly_state,SiteMonth_CBI,95332217,2025-04,0.7316531667362092,0.7686950107362419,-0.03704184400003274,C5
Hourly_state,SiteMonth_CBI,95332219,2025-07,0.6989368466476906,0.6045916310088655,0.09434521563882514,C5
Hourly_state,SiteMonth_CBI,95332220,2025-04,0.8076853379195442,0.8874462701092574,-0.07976093218971314,C5
Hourly_state,SiteMonth_CBI,95332225,2025-08,1.1052361283417609,1.1474947536060724,-0.04225862526431157,C5
Hourly_state,SiteMonth_CBI,95332226,2025-09,0.37650223940597893,0.31442335851817377,0.062078880887805166,C5
Hourly_state,SiteMonth_CBI,95332227,2025-08,0.5224386805411868,0.427283279701382,0.09515540083980478,C5
Hourly_state,SiteMonth_CBI,95332228,2025-08,0.8368557686383975,0.7008623060103245,0.135993462628073,C5
Hourly_state,SiteMonth_CBI,95332228,2025-09,0.8247747824633137,0.7593666112235324,0.06540817123978127,C5
Hourly_state,SiteMonth_CBI,95332229,2025-09,0.5328655608185261,0.4134039903980361,0.11946157042049,C5
Hourly_state,SiteMonth_CBI,95332230,2025-08,0.777117191371178,0.7921481710678016,-0.015030979696623592,C5
Hourly_state,SiteMonth_CBI,95332230,2025-09,0.8240160909430707,0.7181226819709166,0.10589340897215416,C5
Hourly_state,SiteMonth_CBI,95332231,2025-08,0.4410400968863096,0.4568902240582876,-0.015850127171978035,C5
Hourly_state,SiteMonth_CBI,95332235,2025-04,0.8957165365516356,0.7872179359193673,0.10849860063226835,C5
Hourly_state,SiteMonth_CBI,95332236,2025-04,0.9584271586366331,1.0443281751274969,-0.08590101649086379,C5
Hourly_state,SiteMonth_CBI,95332236,2025-06,1.425009186985522,1.205643093979126,0.21936609300639587,C5
Hourly_state,SiteMonth_CBI,95332239,2025-06,0.5954856122137957,0.6501844061451412,-0.05469879393134547,C5
Hourly_state,SiteMonth_CBI,95332242,2025-09,0.6544455377245434,0.4758286420248962,0.17861689569964717,C5
Hourly_state,SiteMonth_CBI,95332243,2025-08,0.49152822656355055,0.5511122074474275,-0.05958398088387695,C5
Hourly_state,SiteMonth_CBI,95332243,2025-09,0.4589328104596613,0.4166914554384297,0.04224135502123155,C5
Hourly_state,SiteMonth_CBI,95332244,2025-04,0.8675404239533564,0.7369705360500645,0.13056988790329194,C5
Hourly_state,SiteMonth_CBI,95332244,2025-06,0.4723893551591143,0.5507574526025935,-0.07836809744347917,C5
Hourly_state,SiteMonth_CBI,95332217,2025-04,0.7316531667362092,0.7359620624340122,-0.004308895697803017,H48
Hourly_state,SiteMonth_CBI,95332219,2025-04,1.1359286965630435,0.8589013293683732,0.27702736719467036,H48
Hourly_state,SiteMonth_CBI,95332219,2025-06,0.7145746244483299,0.6820810801622662,0.03249354428606366,H48
Hourly_state,SiteMonth_CBI,95332220,2025-04,0.7712544231136718,0.8690202228018031,-0.09776579968813137,H48
Hourly_state,SiteMonth_CBI,95332221,2025-08,0.5854591507492887,0.6036826759237461,-0.018223525174457467,H48
Hourly_state,SiteMonth_CBI,95332225,2025-08,1.0865459811473344,1.0577114671795032,0.02883451396783121,H48
Hourly_state,SiteMonth_CBI,95332226,2025-09,0.3613920177025561,0.32999972463174526,0.03139229307081082,H48
Hourly_state,SiteMonth_CBI,95332227,2025-08,0.4940577371966119,0.4966915769511073,-0.0026338397544954373,H48
Hourly_state,SiteMonth_CBI,95332227,2025-09,0.4743797266232594,0.4579032920602133,0.016476434563046094,H48
Hourly_state,SiteMonth_CBI,95332228,2025-08,0.8215326484452593,0.7216042162649055,0.09992843218035385,H48
Hourly_state,SiteMonth_CBI,95332228,2025-09,0.8623524436916437,0.7737374589822099,0.08861498470943374,H48
Hourly_state,SiteMonth_CBI,95332229,2025-09,0.5763301060016166,0.39813848589993567,0.17819162010168094,H48
Hourly_state,SiteMonth_CBI,95332230,2025-08,0.8004844924107887,0.8162064555656877,-0.015721963154899044,H48
Hourly_state,SiteMonth_CBI,95332230,2025-09,0.8381246702883624,0.6996295070892764,0.13849516319908595,H48
Hourly_state,SiteMonth_CBI,95332231,2025-08,0.44178953714833064,0.4371477375880645,0.004641799560266113,H48
Hourly_state,SiteMonth_CBI,95332235,2025-04,0.8957165365516356,0.7872179359193673,0.10849860063226835,H48
Hourly_state,SiteMonth_CBI,95332236,2025-04,0.9584271586366331,1.0645085748929999,-0.1060814162563668,H48
Hourly_state,SiteMonth_CBI,95332236,2025-06,1.370609818892233,1.2566233997292593,0.1139864191629738,H48
Hourly_state,SiteMonth_CBI,95332242,2025-09,0.6635965021534768,0.5295573605003283,0.13403914165314845,H48
Hourly_state,SiteMonth_CBI,95332244,2025-04,0.8675404239533564,0.7348031704219812,0.13273725353137522,H48
Hourly_state,SiteMonth_CBI,95332244,2025-06,0.4598272887901768,0.5549319239425441,-0.09510463515236728,H48
Hourly_state,SiteMonth_CBI,95332217,2025-04,0.7316531667362092,0.7359620624340122,-0.004308895697803017,H120
Hourly_state,SiteMonth_CBI,95332220,2025-04,0.7712544231136718,0.8690202228018031,-0.09776579968813137,H120
Hourly_state,SiteMonth_CBI,95332225,2025-08,1.0865459811473344,1.0577114671795032,0.02883451396783121,H120
Hourly_state,SiteMonth_CBI,95332227,2025-08,0.4940577371966119,0.4966915769511073,-0.0026338397544954373,H120
Hourly_state,SiteMonth_CBI,95332227,2025-09,0.4743797266232594,0.4579032920602133,0.016476434563046094,H120
Hourly_state,SiteMonth_CBI,95332228,2025-08,0.8215326484452593,0.7216042162649055,0.09992843218035385,H120
Hourly_state,SiteMonth_CBI,95332230,2025-08,0.8004844924107887,0.8162064555656877,-0.015721963154899044,H120
Hourly_state,SiteMonth_CBI,95332230,2025-09,0.8381246702883624,0.6996295070892764,0.13849516319908595,H120
Hourly_state,SiteMonth_CBI,95332235,2025-04,0.8957165365516356,0.7872179359193673,0.10849860063226835,H120
Hourly_state,SiteMonth_CBI,95332236,2025-04,0.9584271586366331,1.0645085748929999,-0.1060814162563668,H120
Hourly_state,SiteMonth_CBI,95332244,2025-04,0.8675404239533564,0.7348031704219812,0.13273725353137522,H120
Hourly_state,SiteMonth_CBI,95332217,2025-04,0.7316531667362092,0.7359620624340122,-0.004308895697803017,H168
Hourly_state,SiteMonth_CBI,95332220,2025-04,0.7712544231136718,0.8690202228018031,-0.09776579968813137,H168
Hourly_state,SiteMonth_CBI,95332228,2025-08,0.8215326484452593,0.7216042162649055,0.09992843218035385,H168
Hourly_state,SiteMonth_CBI,95332230,2025-08,0.8004844924107887,0.8162064555656877,-0.015721963154899044,H168
Hourly_state,SiteMonth_CBI,95332235,2025-04,0.8957165365516356,0.7872179359193673,0.10849860063226835,H168
Hourly_state,SiteMonth_CBI,95332236,2025-04,0.9584271586366331,1.0645085748929999,-0.1060814162563668,H168
Hourly_state,SiteMonth_CBI,95332244,2025-04,0.8675404239533564,0.7348031704219812,0.13273725353137522,H168
Hourly_state,SiteMonth_CBI,95332217,2025-04,0.7316531667362092,0.7359620624340122,-0.004308895697803017,M05
Hourly_state,SiteMonth_CBI,95332220,2025-04,0.7712544231136718,0.8690202228018031,-0.09776579968813137,M05
Hourly_state,SiteMonth_CBI,95332221,2025-08,0.5854591507492887,0.6036826759237461,-0.018223525174457467,M05
Hourly_state,SiteMonth_CBI,95332225,2025-08,1.0865459811473344,1.0577114671795032,0.02883451396783121,M05
Hourly_state,SiteMonth_CBI,95332226,2025-09,0.3613920177025561,0.32999972463174526,0.03139229307081082,M05
