AnalysisLayer,EvidenceChain,ScenarioID,ScenarioGroup,Site_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Severity,Drought_Level,Edge_Truncated,Is_Extreme_Event,Event_ID_Robustness
Event_definition,Event_definition,BASE,Baseline,95332226,2025-06-21,2025-08-01,42,-1.648650884628296,-0.6395377516746521,2025-06-30,47.453545451164246,Severe,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332226,2025-08-07,2025-09-18,43,-2.204885721206665,-0.5367267727851868,2025-08-20,59.23395770788193,Extreme,False,True,5
Event_definition,Event_definition,BASE,Baseline,95332226,2025-12-10,2025-12-31,22,-1.422386407852173,-0.6944834589958191,2025-12-30,20.862781643867493,Moderate,True,False,6
Event_definition,Event_definition,BASE,Baseline,95332227,2025-01-01,2025-02-05,36,-1.844553589820862,-0.7127383351325989,2025-01-31,42.11343777179718,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332227,2025-02-07,2025-03-02,24,-1.22214150428772,-0.555412769317627,2025-02-25,22.998075664043427,Moderate,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332227,2025-04-03,2025-04-08,6,-0.750921368598938,-0.6048771142959595,2025-04-03,3.9220257997512817,Light,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332227,2025-04-13,2025-04-20,8,-1.484672427177429,-0.8217519521713257,2025-04-13,10.025166153907776,Moderate,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332227,2025-06-21,2025-07-20,30,-1.574038147926331,-0.8177517056465149,2025-06-30,33.78996628522873,Severe,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332227,2025-08-11,2025-09-23,44,-2.481644868850708,-0.5942792892456055,2025-08-20,67.75691944360733,Extreme,False,True,6
Event_definition,Event_definition,BASE,Baseline,95332227,2025-12-04,2025-12-31,28,-1.653873205184937,-0.8487956523895264,2025-12-10,32.977122366428375,Severe,True,False,7
Event_definition,Event_definition,BASE,Baseline,95332228,2025-01-01,2025-02-05,36,-1.883877038955688,-0.7126227617263794,2025-01-31,44.839335560798645,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332228,2025-02-08,2025-02-21,14,-0.8600645065307617,-0.5567774176597595,2025-02-18,10.310466349124908,Light,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332228,2025-02-23,2025-03-02,8,-1.188252687454224,-0.6753677725791931,2025-02-28,8.231748223304749,Moderate,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332228,2025-04-12,2025-04-20,9,-1.366067886352539,-0.5318072438240051,2025-04-16,9.339582026004791,Moderate,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332228,2025-06-21,2025-07-26,36,-1.581078886985779,-0.7141591310501099,2025-06-27,41.1191428899765,Severe,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332228,2025-08-12,2025-09-12,32,-2.336613178253174,-1.080771684646606,2025-08-23,57.857635140419006,Extreme,False,True,6
Event_definition,Event_definition,BASE,Baseline,95332228,2025-12-10,2025-12-31,22,-1.409170746803284,-0.7359597682952881,2025-12-30,21.38706260919571,Moderate,True,False,7
Event_definition,Event_definition,BASE,Baseline,95332229,2025-01-01,2025-02-05,36,-1.814688801765442,-0.9247483611106873,2025-01-31,50.63849425315857,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332229,2025-02-07,2025-02-21,15,-0.8813818097114563,-0.5222426652908325,2025-02-14,10.289737582206726,Light,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332229,2025-02-24,2025-03-02,7,-1.176679134368896,-0.8903255462646484,2025-02-24,7.162411868572234,Moderate,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332229,2025-04-02,2025-04-09,8,-0.909740686416626,-0.5081905126571655,2025-04-03,5.744939625263214,Light,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332229,2025-04-13,2025-04-19,7,-1.392917633056641,-0.5649742484092712,2025-04-13,8.161056697368624,Moderate,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332229,2025-06-21,2025-07-29,39,-1.354404211044312,-0.5086396336555481,2025-07-19,37.44867950677872,Moderate,False,False,6
Event_definition,Event_definition,BASE,Baseline,95332229,2025-08-12,2025-09-12,32,-2.100579500198364,-0.5447860360145569,2025-09-03,44.885386288166046,Extreme,False,True,7
Event_definition,Event_definition,BASE,Baseline,95332229,2025-12-10,2025-12-31,22,-1.371546387672424,-0.7103878259658813,2025-12-10,21.96466100215912,Moderate,True,False,8
Event_definition,Event_definition,BASE,Baseline,95332230,2025-01-01,2025-02-05,36,-1.858227968215942,-0.6631510257720947,2025-01-31,43.31151866912842,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332230,2025-02-08,2025-02-21,14,-0.9253191351890564,-0.6164587140083313,2025-02-18,10.902070760726929,Light,False,False,2
